base_policy,restriction,path_id,path_content_sha256,training_seed,scope,period_offset,queue_loss_berth,queue_loss_yard,queue_loss_gate,queue_loss_landbridge,queue_loss,waiting_loss,sue_exit_loss,attrition_exit_loss,exit_loss,overload_loss,route_resource_loss,action_loss,terminal_loss,period_operational_loss,period_loss_identity_residual,waiting_mass_before,waiting_mass_after,sue_exit_mass,attrition_exit_mass,delivered_landbridge,outstanding_mass_after
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,0.0,0.0,0.0,0.0,0.0,0.0,5.747131735128846e-07,0.0,5.747131735128846e-07,0.0,11.932025287983631,0.0,0.0,11.932025862696804,0.0,0.0,11.226484048146625,2.7367293976804026e-08,0.0,0.0,32.100321135742526
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,0.0,0.0,0.0,0.0,0.0,11.226484048146625,2.3937871538753935e-06,0.0,2.3937871538753935e-06,0.0,34.12093227796591,0.0,0.0,45.34741871989969,0.0,11.226484048146625,42.18388498210124,1.1398986447025684e-07,0.0,0.0,123.67240554152613
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,2,0.0,0.0,0.0,0.0,0.0,53.410369030247864,4.311624662604843e-06,0.02179698271182315,0.02180129433648575,0.0,39.2653276188253,0.0,0.0,92.69749794340964,0.0,42.18388498210124,72.05564052499861,2.0531546012404012e-07,0.0010379515577058642,0.0,226.99256448181893
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,3,0.0,13.807995344946825,0.0,0.0,13.807995344946825,125.46393365213106,5.232027032695824e-06,0.1472857703149516,0.1472910023419843,0.0,36.370105491931,0.0,0.0,175.78932549135084,5.684341886080802e-14,72.05564052499861,99.7775107574238,2.4914414441408684e-07,0.00701360811023579,0.0,320.8215133659987
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,4,10.395162466622999,32.2957,13.807995344946825,0.0,56.49885781156982,225.2232657709614,7.186725017747882e-06,0.49448359945087145,0.4944907861758892,0.0,30.684274229664332,0.0,0.0,312.90088859837147,0.0,99.7775107574238,128.7476789246661,3.4222500084513727e-07,0.023546838069089117,0.0,399.0872560377762
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,5,34.44856557394511,37.16188354533456,32.2957,13.807995344946825,117.7141444642265,353.8937288431646,1.1418542062661916e-05,1.1748198151713938,1.1748312337134563,3.8265843243895805,30.363511130688472,0.0,0.0,506.9727999961826,0.0,128.7476789246661,161.64378969954544,5.43740098221996e-07,0.05594380072244732,13.807995344946825,462.31481277464763
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,6,53.84398024438943,46.293153075445424,37.16188354533456,32.2957,169.5947168651694,515.3133315956611,1.2924089682644324e-05,2.2972470927810265,2.2972600168707094,21.54828024438942,26.140622904543623,0.0,0.0,734.8942116266343,0.0,161.64378969954544,190.439474418474,6.154328420306821e-07,0.1093927187038584,32.2957,495.7754872620591
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,7,59.743529713691565,48.33570120167691,46.293153075445424,37.16188354533456,191.53426753614846,705.233360752596,1.1985646541685346e-05,3.979435968708567,3.979447954355109,27.44782971369156,20.073251959373767,0.0,0.0,948.268157916165,0.0,190.439474418474,212.1315635319977,5.707450734135879e-07,0.18949695089088414,37.16188354533456,509.0915097523839
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,8,59.49722202277271,47.06451629514916,48.33570120167691,46.293153075445424,201.19059259504422,916.3253754786714,1.6986863808490983e-05,6.336607824558393,6.336624811422201,27.201522022772707,24.866215440865297,0.0,0.0,1175.9203303487757,0.0,212.1315635319977,238.06259363808982,8.088982765948088e-07,0.30174322974087586,46.293153075445424,525.0187317478105
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,9,53.506227766196275,45.04717629279864,47.06451629514916,48.33570120167691,193.953621555821,1152.5105687124599,4.5891836554659554e-05,9.459152189331107,9.459198081167662,21.210527766196275,47.73666957693142,0.0,0.0,1424.8705856925762,0.0,238.06259363808982,280.2883823981493,2.1853255502218835e-06,0.45043581853957654,48.33570120167691,589.9584814750779
