policy,physical_paths,mean__total_operational_objective,path_sd__total_operational_objective,path_q25__total_operational_objective,path_q75__total_operational_objective,mean__waiting_model_unit_weeks,path_sd__waiting_model_unit_weeks,path_q25__waiting_model_unit_weeks,path_q75__waiting_model_unit_weeks,mean__direct_sue_exit,path_sd__direct_sue_exit,path_q25__direct_sue_exit,path_q75__direct_sue_exit,mean__duration_attrition,path_sd__duration_attrition,path_q25__duration_attrition,path_q75__duration_attrition,mean__overload,path_sd__overload,path_q25__overload,path_q75__overload,mean__loss_route_resource,path_sd__loss_route_resource,path_q25__loss_route_resource,path_q75__loss_route_resource,mean__loss_action,path_sd__loss_action,path_q25__loss_action,path_q75__loss_action,mean__ending_outstanding_mass,path_sd__ending_outstanding_mass,path_q25__ending_outstanding_mass,path_q75__ending_outstanding_mass,mean__restricted_clearance_time_contribution,path_sd__restricted_clearance_time_contribution,path_q25__restricted_clearance_time_contribution,path_q75__restricted_clearance_time_contribution,mean__seed_clearance_probability,path_sd__seed_clearance_probability,path_q25__seed_clearance_probability,path_q75__seed_clearance_probability
Behaviour cloning,88,115468.4781402796,5871.938022866924,111393.7469106045,119313.74363062742,7844.143012087847,341.6561568588319,7608.380077227593,8070.043303377047,0.000484935999976617,0.00012047083217183002,0.000399077972077775,0.00054548909432295,184.795626402976,10.207503636792849,176.47269208380925,192.58398065130604,1381.6511000756132,140.73073967216362,1286.388390528226,1454.1534491526106,1315.3376920138437,98.09009270478775,1243.9464018215476,1370.6706259141665,1172.6582172803976,3.2490903576093277,1170.7185641378358,1175.1552532944006,5.741544315846253e-07,6.168789072705174e-08,5.289414968404738e-07,6.215474311264566e-07,79.0,0.0,79.0,79.0,1.0,0.0,1.0,1.0
Constrained SAC,88,286485.5137201957,12985.841278392545,277637.5159636447,294430.7511648782,15753.018909634824,687.4242573179614,15277.345965414223,16174.582559852308,6.53371238417274e-05,1.55842691911597e-05,5.427657687752168e-05,7.301488466360611e-05,539.7516773927242,23.561165911942457,523.449451842969,554.203097061575,1381.769024549555,139.1161669419801,1287.4157211430672,1454.1852353702334,801.4391256707967,54.787892045947885,767.3157705239845,835.0562556467942,3.3869162563362663,0.26333846354837276,3.201272317923965,3.533989743223402,7.265408920790532e-07,7.7910540319917e-08,6.727957910578507e-07,7.856191332599014e-07,78.0,0.0,78.0,78.0,1.0,0.0,1.0,1.0
Model-guided constrained SAC,88,115978.93521315046,5904.353800697651,111917.98069946039,119707.75706120749,7905.414587166285,344.25575416618204,7666.014854951774,8137.636839382233,0.0005047885405995989,0.000124496431977328,0.000414392296845,0.00056556582377185,185.82621556875674,10.269255731346512,177.55568484744316,193.65293761804367,1381.7571681777947,139.82280642606187,1287.9314319686105,1458.0730470031106,1326.9269644032236,98.0322886820756,1253.3226893572792,1381.9816697758044,940.629711746249,22.699675752039767,932.792265864133,937.3295839470096,5.745659003871287e-07,6.173311631010363e-08,5.293280394165279e-07,6.219621640616939e-07,79.0,0.0,79.0,79.0,1.0,0.0,1.0,1.0
PPO,88,174867.9779585409,7312.131696242661,170193.2238288428,180018.8738725151,11350.561218365117,448.56171554756105,11062.161255511777,11659.46049221704,0.0002702488284405727,6.967463171352728e-05,0.00021811725594855,0.000306368277047275,297.66080977944245,12.096441158860799,290.64861814471357,305.0102585060593,1365.4445395573223,140.2020037317799,1271.0625651087294,1438.2435590471866,1122.443661444507,88.52486569960439,1059.2697755885536,1174.4516125399764,1041.9227758962304,8.530133710081794,1036.6605613463748,1048.5401554652296,5.597288560856785e-07,5.6518567181236386e-08,5.178221764421533e-07,6.04173696138151e-07,78.99621212121211,0.03553345272593457,79.0,79.0,1.0,0.0,1.0,1.0
Passive,88,286516.5297538498,12976.407099727146,277665.5666651695,294453.0997368806,15753.598484605494,687.009490651017,15277.71761466769,16174.779337435291,6.533591559174184e-05,1.5579787354658743e-05,5.426505345875402e-05,7.300777585733174e-05,539.8336122937536,23.54197461703822,523.5264497958046,554.2663517077101,1381.4946855391133,139.0868224897028,1287.107048880543,1453.912271735097,801.3948718400522,54.77314418255637,767.2825540744628,835.004148082819,0.0,0.0,0.0,0.0,7.265577439788286e-07,7.790553327522861e-08,6.728291386267913e-07,7.856475484473879e-07,78.0,0.0,78.0,78.0,1.0,0.0,1.0,1.0
Projected stochastic MPC,88,109237.9110245774,6107.745168085043,105844.64227517237,113491.45851666873,7161.059380700965,359.7120802856923,6937.656911458179,7392.250777809573,0.000594422195360892,0.00013614960812654276,0.00049462149988575,0.00066480906270995,174.78082079653709,10.319425109550837,167.41222823043407,182.38736036141,1553.7516981423846,148.36694187350327,1453.7845900158932,1630.4478170389912,1391.7043573284973,94.50462233235507,1323.1160631164616,1447.1531752222581,0.0,0.0,0.0,0.0,5.633746080085513e-07,6.104187928003368e-08,5.185193843351231e-07,6.099567102034701e-07,79.0,0.0,79.0,79.0,1.0,0.0,1.0,1.0
Reactive,88,100056.0096607477,5338.431991497468,96499.91460541,103673.61885510934,6849.1900150694655,313.2946061890294,6659.940109494129,7051.5156572096375,0.0003365876734003534,6.557438148407133e-05,0.000289887382866125,0.000369939092279825,160.60223495253615,9.299248832549289,153.11949655415697,167.33591320091725,1204.3606926927123,130.62728475140145,1114.3380534132002,1272.4215542191434,1299.0039838851974,88.99676456515208,1235.5341627858202,1350.4573581189702,599.860543202984,42.94562871210222,566.8641253507668,627.7325042943646,5.612559916964988e-07,5.995281955586606e-08,5.174429902380095e-07,6.072411975641736e-07,79.0,0.0,79.0,79.0,1.0,0.0,1.0,1.0
Vanilla SAC,88,286464.1145823099,12985.978157876118,277613.5994806029,294409.88533545646,15752.063250614441,687.416988855481,15276.25107351462,16173.6513793877,6.53182356498271e-05,1.557994085214136e-05,5.4261535855690726e-05,7.299313800354185e-05,539.7087192003528,23.56204381155644,523.4013316491998,554.1613959334542,1381.7292274104652,139.11400358854485,1287.3792315933106,1454.138801702922,801.4003065532796,54.782411252337226,767.2774168905743,835.0050771732193,3.492925272639418,0.2701364484213924,3.2994791965251147,3.6631641162665693,7.265332669708772e-07,7.790888600597343e-08,6.727901095922751e-07,7.856134274210622e-07,78.0,0.0,78.0,78.0,1.0,0.0,1.0,1.0
