restriction,reference,outcome,physical_paths,mean_paired_difference,paired_difference_sd,standard_error,paired_95_lower,paired_95_upper,simultaneous_95_lower,simultaneous_95_upper,unadjusted_p_value,multiplicity_family,family_size,interpretation,holm_adjusted_p_value
no_readiness,full_action,total_loss,88,1978.8213174112943,215.1479638687596,22.93485000963527,1933.2358195951401,2024.4068152274485,1920.321473526705,2037.3211612958837,4.557759707642086e-86,four restrictions within total_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,9.115519415284172e-86
no_direct_capacity,full_action,total_loss,88,7166.450531370997,693.727064667795,73.9515535712244,7019.463811056454,7313.43725168554,6977.822555294328,7355.078507447666,2.0640693157331376e-90,four restrictions within total_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,6.192207947199413e-90
no_release_pacing_authority,full_action,total_loss,88,-4967.209070971433,335.5242716613808,35.767007536450414,-5038.29987135854,-4896.118270584326,-5058.439855398724,-4875.978286544142,6.414355513573062e-104,four restrictions within total_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,2.5657422054292246e-103
no_disclosure,full_action,total_loss,88,3973.679276546394,493.72757633245004,52.63153647929884,3869.068398767382,4078.2901543254056,3839.432195525522,4107.926357567266,4.322234146408696e-81,four restrictions within total_loss,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,4.322234146408696e-81
no_readiness,full_action,waiting_exposure,88,99.34264987017731,10.794201626705565,1.150665759650261,97.05557707695547,101.62972266339915,96.4076506321355,102.27764910821912,4.315432619229393e-86,four restrictions within waiting_exposure,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,8.630865238458785e-86
no_direct_capacity,full_action,waiting_exposure,88,334.73237920031113,35.619646401018635,3.797067064515357,327.1852972571313,342.27946114349095,325.04721315823343,344.4175452423888,7.1674249197808085e-87,four restrictions within waiting_exposure,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,2.1502274759342427e-86
no_release_pacing_authority,full_action,waiting_exposure,88,-445.80964577483667,21.66598056417408,2.3096012884143233,-450.40022842285777,-441.21906312681557,-451.70073792286126,-439.91855362681207,2.559589837145203e-116,four restrictions within waiting_exposure,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.0238359348580811e-115
no_disclosure,full_action,waiting_exposure,88,252.41532212996225,27.84669511132675,2.968467672935569,246.51517119960607,258.3154730603184,244.84366173670804,259.98698252321645,1.595314515224903e-85,four restrictions within waiting_exposure,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,1.595314515224903e-85
no_readiness,full_action,sue_exit,88,2.7511726480632357e-05,5.99522789570574e-06,6.390934410398013e-07,2.624145906451239e-05,2.8781993896752322e-05,2.5881593015064166e-05,2.9141859946200547e-05,1.9456624479899176e-60,four restrictions within sue_exit,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,7.78264979195967e-60
no_direct_capacity,full_action,sue_exit,88,9.531358717650498e-05,2.926811882505207e-05,3.1199919499411143e-06,8.91122653383108e-05,0.00010151490901469917,8.735543432544854e-05,0.00010327174002756143,2.7542078599648757e-48,four restrictions within sue_exit,4,fixed-policy restricted-action diagnostic; not causal or reoptimised value,5.508415719929751e-48
