restriction,reference,outcome,path_id,paired_difference,inference_unit
no_readiness,full_action,total_loss,test_066_28fb87ba4913,1709.967480133273,physical_path
no_readiness,full_action,total_loss,test_067_4d46fa716471,2167.3979928827175,physical_path
no_readiness,full_action,total_loss,test_068_93da1d4ae1ba,1970.1651182649075,physical_path
no_readiness,full_action,total_loss,test_069_5b01ea54b2fa,1912.6428756753885,physical_path
no_readiness,full_action,total_loss,test_070_0cd9bcac96c3,1713.5542495809495,physical_path
no_readiness,full_action,total_loss,test_071_34f77888383f,2416.6761700110947,physical_path
no_readiness,full_action,total_loss,test_072_8e59fac0e6c8,1789.488720880705,physical_path
no_readiness,full_action,total_loss,test_073_69349232969b,2049.896167643339,physical_path
no_readiness,full_action,total_loss,test_074_212affc962e2,1989.4612522020616,physical_path
no_readiness,full_action,total_loss,test_075_8de4e41c7ad9,1795.5529167028435,physical_path
no_readiness,full_action,total_loss,test_076_48339f21c8ec,1913.7220213643595,physical_path
no_readiness,full_action,total_loss,test_077_b1f2e84dc844,1882.8664259270881,physical_path
no_readiness,full_action,total_loss,test_078_367d379a9297,1747.9807407386688,physical_path
no_readiness,full_action,total_loss,test_079_bce06ca59758,2306.8931943595526,physical_path
no_readiness,full_action,total_loss,test_080_e669407a98d7,2122.0421669674542,physical_path
no_readiness,full_action,total_loss,test_081_fbbd80304765,1968.5267147776613,physical_path
no_readiness,full_action,total_loss,test_082_2cf496ac3a99,2178.7065289409948,physical_path
no_readiness,full_action,total_loss,test_083_4cbdde5f376f,2038.9620245891274,physical_path
no_readiness,full_action,total_loss,test_084_513eb18f351c,2000.8122879139555,physical_path
no_readiness,full_action,total_loss,test_085_650c50514b66,2152.3476819050993,physical_path
no_readiness,full_action,total_loss,test_086_754dc8e1ab0e,1707.1525905375747,physical_path
no_readiness,full_action,total_loss,test_087_cbc79ee243dd,2183.714694265407,physical_path
no_direct_capacity,full_action,total_loss,test_000_4ae657b9eeec,7322.849490908033,physical_path
no_direct_capacity,full_action,total_loss,test_001_dde9993de777,8251.401299308185,physical_path
no_direct_capacity,full_action,total_loss,test_002_f01217ab0e79,6931.5354092162015,physical_path
no_direct_capacity,full_action,total_loss,test_003_eb3106001035,6808.839150337706,physical_path
no_direct_capacity,full_action,total_loss,test_004_55a330aff5c4,7843.234682875263,physical_path
no_direct_capacity,full_action,total_loss,test_005_981c73a17708,6433.305531301376,physical_path
no_direct_capacity,full_action,total_loss,test_006_daba4b1e9814,6942.805897226077,physical_path
no_direct_capacity,full_action,total_loss,test_007_925513ee8ec6,8500.38185615615,physical_path
no_direct_capacity,full_action,total_loss,test_008_fabe46a0ea00,6327.604670514687,physical_path
no_direct_capacity,full_action,total_loss,test_009_c8ef87e47101,7322.645345994242,physical_path
no_direct_capacity,full_action,total_loss,test_010_613ab99db82c,5506.690152957541,physical_path
no_direct_capacity,full_action,total_loss,test_011_8a2e74b38d5d,7593.595382323561,physical_path
no_direct_capacity,full_action,total_loss,test_012_b6bdc05b20a7,7478.899930127009,physical_path
no_direct_capacity,full_action,total_loss,test_013_040653995d85,7233.210902579129,physical_path
no_direct_capacity,full_action,total_loss,test_014_f00647451070,7105.861198250932,physical_path
no_direct_capacity,full_action,total_loss,test_015_643a837775f9,8040.485568506978,physical_path
no_direct_capacity,full_action,total_loss,test_016_45a90ccef8bd,7506.842441961693,physical_path
no_direct_capacity,full_action,total_loss,test_017_ebd333a3cdba,7482.92167044837,physical_path
no_direct_capacity,full_action,total_loss,test_018_9466cee538c9,7238.498921079023,physical_path
no_direct_capacity,full_action,total_loss,test_019_9d2b7462a57a,7974.991311140722,physical_path
no_direct_capacity,full_action,total_loss,test_020_701c8d28bc45,7140.93500558153,physical_path
no_direct_capacity,full_action,total_loss,test_021_69299bc5d0bf,7078.359857515083,physical_path
no_direct_capacity,full_action,total_loss,test_022_1b3e72c80b5f,6714.776176098807,physical_path
no_direct_capacity,full_action,total_loss,test_023_90a8af416c5a,7506.096578806246,physical_path
no_direct_capacity,full_action,total_loss,test_024_e90f261f99e2,6230.355885364785,physical_path
no_direct_capacity,full_action,total_loss,test_025_0c3eeaae0824,8559.215583057216,physical_path
no_direct_capacity,full_action,total_loss,test_026_770d47ae1768,7494.015583157292,physical_path
no_direct_capacity,full_action,total_loss,test_027_df5d670513fa,7487.13726195498,physical_path
no_direct_capacity,full_action,total_loss,test_028_e9fb02365dd3,6820.005495835256,physical_path
no_direct_capacity,full_action,total_loss,test_029_b44f60718c5a,5641.850893045121,physical_path
no_direct_capacity,full_action,total_loss,test_030_038f4c53d11f,6839.494894321237,physical_path
no_direct_capacity,full_action,total_loss,test_031_0a6ff70351b5,6125.913940191356,physical_path
no_direct_capacity,full_action,total_loss,test_032_efdf826e6bc3,7990.746385024468,physical_path
no_direct_capacity,full_action,total_loss,test_033_de0c441dba67,7862.030861039428,physical_path
no_direct_capacity,full_action,total_loss,test_034_a00d80b83640,6398.004565620562,physical_path
no_direct_capacity,full_action,total_loss,test_035_51fd398978b7,6196.802463585904,physical_path
no_direct_capacity,full_action,total_loss,test_036_7eb6ac1ca077,7664.334910321035,physical_path
no_direct_capacity,full_action,total_loss,test_037_f096257ecaa4,8503.852866747126,physical_path
no_direct_capacity,full_action,total_loss,test_038_b05abc6e01b3,7876.121098243268,physical_path
no_direct_capacity,full_action,total_loss,test_039_9c0d1ebe6c19,7149.610699414363,physical_path
no_direct_capacity,full_action,total_loss,test_040_11a8950c659e,7564.101437237885,physical_path
no_direct_capacity,full_action,total_loss,test_041_e58f21dcc209,6909.138772514241,physical_path
no_direct_capacity,full_action,total_loss,test_042_a77d2ece213a,6513.793499809413,physical_path
no_direct_capacity,full_action,total_loss,test_043_f1174106175c,8361.448364080701,physical_path
no_direct_capacity,full_action,total_loss,test_044_ed401c94714a,7801.7127325819165,physical_path
no_direct_capacity,full_action,total_loss,test_045_af7d3f616c1d,6585.917104599212,physical_path
no_direct_capacity,full_action,total_loss,test_046_e35b743e6617,6377.616162036691,physical_path
no_direct_capacity,full_action,total_loss,test_047_20c1f89391c1,6793.800016440306,physical_path
no_direct_capacity,full_action,total_loss,test_048_eeaf6a6a0a15,7980.520799934529,physical_path
no_direct_capacity,full_action,total_loss,test_049_343da3774e7e,6639.031221531986,physical_path
no_direct_capacity,full_action,total_loss,test_050_1c7612d8bc63,7328.914976097789,physical_path
no_direct_capacity,full_action,total_loss,test_051_5747c87e6d9a,5537.315763883511,physical_path
no_direct_capacity,full_action,total_loss,test_052_9760565f31de,8039.788934083874,physical_path
no_direct_capacity,full_action,total_loss,test_053_4473e6f72168,6990.480830476794,physical_path
no_direct_capacity,full_action,total_loss,test_054_c66f0b1dacc4,7092.762790194218,physical_path
no_direct_capacity,full_action,total_loss,test_055_f90330578051,7833.327870618465,physical_path
no_direct_capacity,full_action,total_loss,test_056_b2c64046cef9,6873.221560767241,physical_path
no_direct_capacity,full_action,total_loss,test_057_bf11b8e004e2,6722.958782426867,physical_path
no_direct_capacity,full_action,total_loss,test_058_fbcfbffca03e,8391.422026498854,physical_path
no_direct_capacity,full_action,total_loss,test_059_d22925a9593f,6132.775339783824,physical_path
no_direct_capacity,full_action,total_loss,test_060_b3feb9e274c2,6670.452438013643,physical_path
no_direct_capacity,full_action,total_loss,test_061_627abde70c26,6753.666831160212,physical_path
no_direct_capacity,full_action,total_loss,test_062_0c9ea14e9507,7447.804136048784,physical_path
no_direct_capacity,full_action,total_loss,test_063_44f0f2a191ef,5972.849589786143,physical_path
no_direct_capacity,full_action,total_loss,test_064_27d69866b791,6614.103865689889,physical_path
no_direct_capacity,full_action,total_loss,test_065_930038cc16e9,6587.567980626394,physical_path
no_direct_capacity,full_action,total_loss,test_066_28fb87ba4913,7067.475911607733,physical_path
no_direct_capacity,full_action,total_loss,test_067_4d46fa716471,6918.967449654185,physical_path
no_direct_capacity,full_action,total_loss,test_068_93da1d4ae1ba,7535.630146968033,physical_path
no_direct_capacity,full_action,total_loss,test_069_5b01ea54b2fa,6907.171234032998,physical_path
no_direct_capacity,full_action,total_loss,test_070_0cd9bcac96c3,6853.869186679192,physical_path
no_direct_capacity,full_action,total_loss,test_071_34f77888383f,6738.426976682313,physical_path
no_direct_capacity,full_action,total_loss,test_072_8e59fac0e6c8,6894.270286433661,physical_path
no_direct_capacity,full_action,total_loss,test_073_69349232969b,7507.979328277463,physical_path
no_direct_capacity,full_action,total_loss,test_074_212affc962e2,7487.364330524419,physical_path
no_direct_capacity,full_action,total_loss,test_075_8de4e41c7ad9,6775.898798139853,physical_path
no_direct_capacity,full_action,total_loss,test_076_48339f21c8ec,7384.995802216843,physical_path
no_direct_capacity,full_action,total_loss,test_077_b1f2e84dc844,7630.456182058857,physical_path
no_direct_capacity,full_action,total_loss,test_078_367d379a9297,7736.304917554924,physical_path
no_direct_capacity,full_action,total_loss,test_079_bce06ca59758,7050.658222704093,physical_path
no_direct_capacity,full_action,total_loss,test_080_e669407a98d7,6769.542110735521,physical_path
no_direct_capacity,full_action,total_loss,test_081_fbbd80304765,6166.360021162953,physical_path
no_direct_capacity,full_action,total_loss,test_082_2cf496ac3a99,8163.564789105498,physical_path
no_direct_capacity,full_action,total_loss,test_083_4cbdde5f376f,7206.493154727868,physical_path
no_direct_capacity,full_action,total_loss,test_084_513eb18f351c,6886.512563043987,physical_path
no_direct_capacity,full_action,total_loss,test_085_650c50514b66,8674.470068851922,physical_path
no_direct_capacity,full_action,total_loss,test_086_754dc8e1ab0e,7399.126971072168,physical_path
no_direct_capacity,full_action,total_loss,test_087_cbc79ee243dd,7249.3526633519505,physical_path
no_release_pacing_authority,full_action,total_loss,test_000_4ae657b9eeec,-5285.519436736635,physical_path
no_release_pacing_authority,full_action,total_loss,test_001_dde9993de777,-5000.68004873945,physical_path
no_release_pacing_authority,full_action,total_loss,test_002_f01217ab0e79,-5002.950970776874,physical_path
no_release_pacing_authority,full_action,total_loss,test_003_eb3106001035,-4409.260123869259,physical_path
no_release_pacing_authority,full_action,total_loss,test_004_55a330aff5c4,-4493.672773592189,physical_path
no_release_pacing_authority,full_action,total_loss,test_005_981c73a17708,-5313.816938167045,physical_path
no_release_pacing_authority,full_action,total_loss,test_006_daba4b1e9814,-4735.359499983228,physical_path
no_release_pacing_authority,full_action,total_loss,test_007_925513ee8ec6,-4528.267265478877,physical_path
no_release_pacing_authority,full_action,total_loss,test_008_fabe46a0ea00,-4978.95091561228,physical_path
no_release_pacing_authority,full_action,total_loss,test_009_c8ef87e47101,-4899.07672064619,physical_path
no_release_pacing_authority,full_action,total_loss,test_010_613ab99db82c,-5421.126539909004,physical_path
no_release_pacing_authority,full_action,total_loss,test_011_8a2e74b38d5d,-4731.790465833983,physical_path
no_release_pacing_authority,full_action,total_loss,test_012_b6bdc05b20a7,-4789.1232506757515,physical_path
no_release_pacing_authority,full_action,total_loss,test_013_040653995d85,-5056.278252814751,physical_path
no_release_pacing_authority,full_action,total_loss,test_014_f00647451070,-4729.7646792688465,physical_path
no_release_pacing_authority,full_action,total_loss,test_015_643a837775f9,-4534.605387377029,physical_path
no_release_pacing_authority,full_action,total_loss,test_016_45a90ccef8bd,-4913.650033288926,physical_path
no_release_pacing_authority,full_action,total_loss,test_017_ebd333a3cdba,-4911.833501748348,physical_path
no_release_pacing_authority,full_action,total_loss,test_018_9466cee538c9,-4667.787662835501,physical_path
no_release_pacing_authority,full_action,total_loss,test_019_9d2b7462a57a,-4203.54143783325,physical_path
no_release_pacing_authority,full_action,total_loss,test_020_701c8d28bc45,-5156.573722585876,physical_path
no_release_pacing_authority,full_action,total_loss,test_021_69299bc5d0bf,-4864.88141085564,physical_path
no_release_pacing_authority,full_action,total_loss,test_022_1b3e72c80b5f,-4631.8631903892965,physical_path
no_release_pacing_authority,full_action,total_loss,test_023_90a8af416c5a,-4441.042451656394,physical_path
no_release_pacing_authority,full_action,total_loss,test_024_e90f261f99e2,-5335.371772647355,physical_path
no_release_pacing_authority,full_action,total_loss,test_025_0c3eeaae0824,-4714.996204601033,physical_path
no_release_pacing_authority,full_action,total_loss,test_026_770d47ae1768,-5562.436899747248,physical_path
no_release_pacing_authority,full_action,total_loss,test_027_df5d670513fa,-4946.9102102425095,physical_path
no_release_pacing_authority,full_action,total_loss,test_028_e9fb02365dd3,-5224.764376953448,physical_path
no_release_pacing_authority,full_action,total_loss,test_029_b44f60718c5a,-5364.950872903515,physical_path
no_release_pacing_authority,full_action,total_loss,test_030_038f4c53d11f,-4942.194692393445,physical_path
no_release_pacing_authority,full_action,total_loss,test_031_0a6ff70351b5,-5636.051502326562,physical_path
no_release_pacing_authority,full_action,total_loss,test_032_efdf826e6bc3,-4917.939446000324,physical_path
no_release_pacing_authority,full_action,total_loss,test_033_de0c441dba67,-5260.801428895982,physical_path
no_release_pacing_authority,full_action,total_loss,test_034_a00d80b83640,-4811.467395434825,physical_path
no_release_pacing_authority,full_action,total_loss,test_035_51fd398978b7,-5207.6748091674235,physical_path
no_release_pacing_authority,full_action,total_loss,test_036_7eb6ac1ca077,-5081.996751988147,physical_path
no_release_pacing_authority,full_action,total_loss,test_037_f096257ecaa4,-4100.879576771331,physical_path
no_release_pacing_authority,full_action,total_loss,test_038_b05abc6e01b3,-4578.542933465826,physical_path
no_release_pacing_authority,full_action,total_loss,test_039_9c0d1ebe6c19,-5150.325176100974,physical_path
no_release_pacing_authority,full_action,total_loss,test_040_11a8950c659e,-4875.232263949074,physical_path
no_release_pacing_authority,full_action,total_loss,test_041_e58f21dcc209,-5193.559355463323,physical_path
no_release_pacing_authority,full_action,total_loss,test_042_a77d2ece213a,-5603.1429702889145,physical_path
no_release_pacing_authority,full_action,total_loss,test_043_f1174106175c,-4549.671968674054,physical_path
no_release_pacing_authority,full_action,total_loss,test_044_ed401c94714a,-4851.9066203257535,physical_path
no_release_pacing_authority,full_action,total_loss,test_045_af7d3f616c1d,-4996.184342924578,physical_path
no_release_pacing_authority,full_action,total_loss,test_046_e35b743e6617,-5048.064290385781,physical_path
no_release_pacing_authority,full_action,total_loss,test_047_20c1f89391c1,-5189.933868478736,physical_path
no_release_pacing_authority,full_action,total_loss,test_048_eeaf6a6a0a15,-4514.158397090097,physical_path
no_release_pacing_authority,full_action,total_loss,test_049_343da3774e7e,-5213.218483810837,physical_path
no_release_pacing_authority,full_action,total_loss,test_050_1c7612d8bc63,-5696.678100097226,physical_path
no_release_pacing_authority,full_action,total_loss,test_051_5747c87e6d9a,-5200.527996697594,physical_path
no_release_pacing_authority,full_action,total_loss,test_052_9760565f31de,-4677.253465788352,physical_path
no_release_pacing_authority,full_action,total_loss,test_053_4473e6f72168,-5018.085811465266,physical_path
no_release_pacing_authority,full_action,total_loss,test_054_c66f0b1dacc4,-5378.3064003404,physical_path
no_release_pacing_authority,full_action,total_loss,test_055_f90330578051,-5192.246398828502,physical_path
no_release_pacing_authority,full_action,total_loss,test_056_b2c64046cef9,-5234.840610353785,physical_path
no_release_pacing_authority,full_action,total_loss,test_057_bf11b8e004e2,-4471.218735324554,physical_path
no_release_pacing_authority,full_action,total_loss,test_058_fbcfbffca03e,-4632.413083052437,physical_path
no_release_pacing_authority,full_action,total_loss,test_059_d22925a9593f,-4766.383869525074,physical_path
no_release_pacing_authority,full_action,total_loss,test_060_b3feb9e274c2,-4917.443045924971,physical_path
no_release_pacing_authority,full_action,total_loss,test_061_627abde70c26,-4883.7853036001325,physical_path
no_release_pacing_authority,full_action,total_loss,test_062_0c9ea14e9507,-4783.775008970595,physical_path
no_release_pacing_authority,full_action,total_loss,test_063_44f0f2a191ef,-4808.180265175994,physical_path
no_release_pacing_authority,full_action,total_loss,test_064_27d69866b791,-5374.67737755194,physical_path
no_release_pacing_authority,full_action,total_loss,test_065_930038cc16e9,-5080.268870395172,physical_path
no_release_pacing_authority,full_action,total_loss,test_066_28fb87ba4913,-4910.124473117059,physical_path
no_release_pacing_authority,full_action,total_loss,test_067_4d46fa716471,-5535.177091335034,physical_path
no_release_pacing_authority,full_action,total_loss,test_068_93da1d4ae1ba,-5044.1181678203575,physical_path
no_release_pacing_authority,full_action,total_loss,test_069_5b01ea54b2fa,-4823.018930092396,physical_path
no_release_pacing_authority,full_action,total_loss,test_070_0cd9bcac96c3,-5023.241579150505,physical_path
no_release_pacing_authority,full_action,total_loss,test_071_34f77888383f,-5310.46969601867,physical_path
no_release_pacing_authority,full_action,total_loss,test_072_8e59fac0e6c8,-5648.77339109579,physical_path
no_release_pacing_authority,full_action,total_loss,test_073_69349232969b,-4453.637340092057,physical_path
no_release_pacing_authority,full_action,total_loss,test_074_212affc962e2,-4715.880138918728,physical_path
no_release_pacing_authority,full_action,total_loss,test_075_8de4e41c7ad9,-5197.023824702992,physical_path
no_release_pacing_authority,full_action,total_loss,test_076_48339f21c8ec,-4583.070978303906,physical_path
no_release_pacing_authority,full_action,total_loss,test_077_b1f2e84dc844,-4766.201287154559,physical_path
no_release_pacing_authority,full_action,total_loss,test_078_367d379a9297,-5015.103095014856,physical_path
no_release_pacing_authority,full_action,total_loss,test_079_bce06ca59758,-5353.941737953341,physical_path
no_release_pacing_authority,full_action,total_loss,test_080_e669407a98d7,-4966.54254565989,physical_path
no_release_pacing_authority,full_action,total_loss,test_081_fbbd80304765,-5375.4268331156345,physical_path
no_release_pacing_authority,full_action,total_loss,test_082_2cf496ac3a99,-4949.008326004361,physical_path
no_release_pacing_authority,full_action,total_loss,test_083_4cbdde5f376f,-4616.231042187981,physical_path
no_release_pacing_authority,full_action,total_loss,test_084_513eb18f351c,-4986.906132492295,physical_path
no_release_pacing_authority,full_action,total_loss,test_085_650c50514b66,-4669.507713835585,physical_path
no_release_pacing_authority,full_action,total_loss,test_086_754dc8e1ab0e,-5305.001440335225,physical_path
no_release_pacing_authority,full_action,total_loss,test_087_cbc79ee243dd,-5176.114846287237,physical_path
no_disclosure,full_action,total_loss,test_000_4ae657b9eeec,3813.7892169906117,physical_path
no_disclosure,full_action,total_loss,test_001_dde9993de777,4585.082296451481,physical_path
no_disclosure,full_action,total_loss,test_002_f01217ab0e79,3273.782460758259,physical_path
no_disclosure,full_action,total_loss,test_003_eb3106001035,3947.6050851429754,physical_path
no_disclosure,full_action,total_loss,test_004_55a330aff5c4,4011.805260295281,physical_path
no_disclosure,full_action,total_loss,test_005_981c73a17708,3694.1842970510334,physical_path
no_disclosure,full_action,total_loss,test_006_daba4b1e9814,3396.3043223978457,physical_path
no_disclosure,full_action,total_loss,test_007_925513ee8ec6,4106.848520578496,physical_path
no_disclosure,full_action,total_loss,test_008_fabe46a0ea00,3490.347740640762,physical_path
no_disclosure,full_action,total_loss,test_009_c8ef87e47101,4211.707589861384,physical_path
no_disclosure,full_action,total_loss,test_010_613ab99db82c,3292.965508967711,physical_path
no_disclosure,full_action,total_loss,test_011_8a2e74b38d5d,4723.4867213441175,physical_path
no_disclosure,full_action,total_loss,test_012_b6bdc05b20a7,4433.690968995914,physical_path
no_disclosure,full_action,total_loss,test_013_040653995d85,3338.6508635803766,physical_path
no_disclosure,full_action,total_loss,test_014_f00647451070,3878.4093458875577,physical_path
no_disclosure,full_action,total_loss,test_015_643a837775f9,5383.071448806193,physical_path
no_disclosure,full_action,total_loss,test_016_45a90ccef8bd,4631.228468664165,physical_path
no_disclosure,full_action,total_loss,test_017_ebd333a3cdba,3951.367258381477,physical_path
no_disclosure,full_action,total_loss,test_018_9466cee538c9,4346.148213754059,physical_path
no_disclosure,full_action,total_loss,test_019_9d2b7462a57a,4111.950498638951,physical_path
no_disclosure,full_action,total_loss,test_020_701c8d28bc45,4412.618426797286,physical_path
no_disclosure,full_action,total_loss,test_021_69299bc5d0bf,3216.5697731393157,physical_path
no_disclosure,full_action,total_loss,test_022_1b3e72c80b5f,3371.9789456658764,physical_path
no_disclosure,full_action,total_loss,test_023_90a8af416c5a,4119.808361394724,physical_path
no_disclosure,full_action,total_loss,test_024_e90f261f99e2,4355.929372380822,physical_path
no_disclosure,full_action,total_loss,test_025_0c3eeaae0824,4706.641288611587,physical_path
no_disclosure,full_action,total_loss,test_026_770d47ae1768,4373.383683303939,physical_path
no_disclosure,full_action,total_loss,test_027_df5d670513fa,3613.0021098992875,physical_path
no_disclosure,full_action,total_loss,test_028_e9fb02365dd3,3362.0755041559314,physical_path
no_disclosure,full_action,total_loss,test_029_b44f60718c5a,3528.506400629529,physical_path
no_disclosure,full_action,total_loss,test_030_038f4c53d11f,3258.6862762861565,physical_path
no_disclosure,full_action,total_loss,test_031_0a6ff70351b5,3946.4158954321756,physical_path
no_disclosure,full_action,total_loss,test_032_efdf826e6bc3,3940.0849536405876,physical_path
no_disclosure,full_action,total_loss,test_033_de0c441dba67,4159.816794466795,physical_path
no_disclosure,full_action,total_loss,test_034_a00d80b83640,3763.6221373798617,physical_path
no_disclosure,full_action,total_loss,test_035_51fd398978b7,3518.2867894763767,physical_path
no_disclosure,full_action,total_loss,test_036_7eb6ac1ca077,3732.82154803483,physical_path
no_disclosure,full_action,total_loss,test_037_f096257ecaa4,4452.588733922152,physical_path
no_disclosure,full_action,total_loss,test_038_b05abc6e01b3,4175.6254027925315,physical_path
no_disclosure,full_action,total_loss,test_039_9c0d1ebe6c19,4207.3127626050555,physical_path
no_disclosure,full_action,total_loss,test_040_11a8950c659e,3878.5877518289635,physical_path
no_disclosure,full_action,total_loss,test_041_e58f21dcc209,3861.0669013173756,physical_path
no_disclosure,full_action,total_loss,test_042_a77d2ece213a,3501.0616863522882,physical_path
no_disclosure,full_action,total_loss,test_043_f1174106175c,3897.735226115474,physical_path
no_disclosure,full_action,total_loss,test_044_ed401c94714a,4059.2721777024854,physical_path
no_disclosure,full_action,total_loss,test_045_af7d3f616c1d,3534.6650012469327,physical_path
no_disclosure,full_action,total_loss,test_046_e35b743e6617,3776.9282160024304,physical_path
no_disclosure,full_action,total_loss,test_047_20c1f89391c1,3997.778427723446,physical_path
no_disclosure,full_action,total_loss,test_048_eeaf6a6a0a15,4427.836230814137,physical_path
no_disclosure,full_action,total_loss,test_049_343da3774e7e,2795.4370794894203,physical_path
no_disclosure,full_action,total_loss,test_050_1c7612d8bc63,3247.8136694218556,physical_path
no_disclosure,full_action,total_loss,test_051_5747c87e6d9a,3771.424455563887,physical_path
no_disclosure,full_action,total_loss,test_052_9760565f31de,3765.860203650387,physical_path
