forecast_model,horizon_months,mean_log_predictive_density,standard_deviation,observations,evaluation_start,evaluation_end,standard_error,hmm_mean_lpd,difference_from_hmm
hmm_transition,1,-4.6634824906739505,10.050395895614322,18,2025-01-01,2026-06-01,2.3689010304661107,-4.6634824906739505,0.0
hmm_transition,2,-4.790472088145809,10.218853511480082,18,2025-01-01,2026-06-01,2.40860687130651,-4.790472088145809,0.0
hmm_transition,3,-4.796490612640486,10.233955518623235,18,2025-01-01,2026-06-01,2.4121664485266603,-4.796490612640486,0.0
persistence,1,-7.439738980075333,13.032119721705698,18,2025-01-01,2026-06-01,3.0717000761510143,-4.6634824906739505,-2.7762564894013826
persistence,2,-10.231088378996574,14.242680013336429,18,2025-01-01,2026-06-01,3.3570318732334323,-4.790472088145809,-5.440616290850765
persistence,3,-10.616972718871544,15.356531068811508,18,2025-01-01,2026-06-01,3.6195690847528397,-4.796490612640486,-5.820482106231058
unconditional,1,-4.791940516236426,10.22944649769924,18,2025-01-01,2026-06-01,2.411103662102704,-4.6634824906739505,-0.12845802556247587
unconditional,2,-4.791940516236426,10.22944649769924,18,2025-01-01,2026-06-01,2.411103662102704,-4.790472088145809,-0.001468428090617202
unconditional,3,-4.791940516236426,10.22944649769924,18,2025-01-01,2026-06-01,2.411103662102704,-4.796490612640486,0.0045500964040599
