model,lag_weeks,autocorrelation,confidence_lower,confidence_upper,one_step_residual_count,residual_start,residual_end,residual_dates_unique
damped_local_trend,1,0.023128983037407378,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,2,0.004653150408715803,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,3,0.007690602793906747,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,4,-0.1729088045755864,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,5,-0.1551562656919578,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,6,0.012956320151713684,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,7,-0.013196353571537095,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,8,0.0630302903743293,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,9,0.13069216921928928,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,10,0.028103020942748653,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,11,0.002658018259199776,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
damped_local_trend,12,-0.13743294004817863,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,1,0.16943770495278296,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,2,0.10444147923383856,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,3,0.06639606199236221,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,4,-0.11381267850797804,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,5,-0.10881594855668943,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,6,0.03925772880373948,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,7,0.030077347682755436,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,8,0.10635547117306428,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,9,0.17020175381753908,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,10,0.07838721517037861,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,11,0.03388569499323365,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
harmonic_ridge,12,-0.10285844254159283,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,1,0.06402669397293471,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,2,0.06251287579708639,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,3,0.048111656560404635,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,4,-0.19970032483812358,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,5,-0.14330272495168891,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,6,0.034623400714634565,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,7,0.06169249275079124,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,8,0.11606857199231367,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,9,0.08149247804281255,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,10,0.03899129145367609,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,11,-0.04174230142578328,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
seasonal_naive,12,-0.15522710153075964,-0.13336110821819525,0.13336110821819525,216,2022-01-03,2026-02-16,True
