residual_date,origin_date,forecast_horizon,observed_value,predicted_value,residual,selected_model,training_cutoff
2022-12-19,2022-12-12,1,3170177.0,2684545.1206199555,485631.8793800445,harmonic_ridge,2022-12-12
2022-12-26,2022-12-19,1,2903297.0,2773312.739054825,129984.26094517484,harmonic_ridge,2022-12-19
2023-01-02,2022-12-26,1,3087643.0,2862865.4814486294,224777.5185513706,harmonic_ridge,2022-12-26
2023-01-09,2023-01-02,1,2679741.0,2965592.818319454,-285851.81831945386,harmonic_ridge,2023-01-02
2023-01-16,2023-01-09,1,2644262.0,3044344.053516363,-400082.0535163628,harmonic_ridge,2023-01-09
2023-01-23,2023-01-16,1,3835068.0,3110279.520856381,724788.4791436191,harmonic_ridge,2023-01-16
2023-01-30,2023-01-23,1,2940619.0,3214943.771423596,-274324.77142359596,harmonic_ridge,2023-01-23
2023-02-06,2023-01-30,1,2786750.0,3255669.091411746,-468919.0914117461,harmonic_ridge,2023-01-30
2023-02-13,2023-02-06,1,3351970.0,3268758.9729057536,83211.02709424635,harmonic_ridge,2023-02-06
2023-02-20,2023-02-13,1,3805070.0,3290938.43808154,514131.56191845983,harmonic_ridge,2023-02-13
2023-02-27,2023-02-20,1,3199809.0,3320244.0781125855,-120435.07811258547,harmonic_ridge,2023-02-20
2023-03-06,2023-02-27,1,4311976.0,3312697.2122412045,999278.7877587955,harmonic_ridge,2023-02-27
2023-03-13,2023-03-06,1,3423257.0,3353953.6394927083,69303.36050729174,harmonic_ridge,2023-03-06
2023-03-20,2023-03-13,1,2823019.0,3356610.0390426214,-533591.0390426214,harmonic_ridge,2023-03-13
2023-03-27,2023-03-20,1,2597295.0,3341424.2513229204,-744129.2513229204,harmonic_ridge,2023-03-20
2023-04-03,2023-03-27,1,3037612.0,3330902.143256373,-293290.1432563728,harmonic_ridge,2023-03-27
2023-04-10,2023-04-03,1,2788246.0,3356695.2298598946,-568449.2298598946,harmonic_ridge,2023-04-03
2023-04-17,2023-04-10,1,3787783.0,3387189.452304966,400593.5476950342,harmonic_ridge,2023-04-10
2023-04-24,2023-04-17,1,3622388.0,3473319.774692261,149068.22530773887,harmonic_ridge,2023-04-17
2023-05-01,2023-04-24,1,3707215.0,3557010.036813916,150204.96318608383,harmonic_ridge,2023-04-24
2023-05-08,2023-05-01,1,4157736.0,3642243.4348861193,515492.5651138807,harmonic_ridge,2023-05-01
2023-05-15,2023-05-08,1,2618023.0,3737231.8849716946,-1119208.8849716946,harmonic_ridge,2023-05-08
2023-05-22,2023-05-15,1,3436479.0,3750124.3450045544,-313645.3450045544,harmonic_ridge,2023-05-15
2023-05-29,2023-05-22,1,3146918.0,3781055.768951414,-634137.7689514142,harmonic_ridge,2023-05-22
2023-06-05,2023-05-29,1,3244898.0,3780078.0881399885,-535180.0881399885,harmonic_ridge,2023-05-29
