case_id,algorithm,demand,terminal_residual,iterations,converged,wall_clock_seconds,tolerance,final_solution_distance
production_problem_0,Conventional MSA,11.172791195460999,1.684507900186581e-05,500,False,0.04681129986420274,1e-06,1.4328477315602349e-05
production_problem_0,RC-MSA,11.172791195460999,4.6761298759738843e-07,7,True,0.0021426999010145664,1e-06,1.4328477315602349e-05
production_problem_1,Conventional MSA,43.00231265727636,8.23638233540619e-06,500,False,0.046358299907296896,1e-06,6.307315862637838e-06
production_problem_1,RC-MSA,43.00231265727636,7.118642327884888e-07,7,True,0.0020320999901741743,1e-06,6.307315862637838e-06
production_problem_2,Conventional MSA,42.706073116848266,5.266039015059833e-06,500,False,0.046111300121992826,1e-06,4.08141133491981e-06
production_problem_2,RC-MSA,42.706073116848266,7.82793778183664e-07,10,True,0.0027848000172525644,1e-06,4.08141133491981e-06
