policy,future_divergence_after_decision,hidden_future_suffix_hash_left,hidden_future_suffix_hash_right,observable_history_hash_left,observable_history_hash_right,scenario_bundle_hash_left,scenario_bundle_hash_right,maximum_action_difference,readiness_order_maximum_difference,direct_order_maximum_difference,readiness_exercise_maximum_difference,waiting_release_maximum_difference,disclosure_maximum_difference,tolerance,status,interface_evidence
Passive,True,57adf06ed15dd2b1eb7facc835c745c9645a21f717b0c94d113c0f4d50ff8c65,fca6d70d7ef63618dede2f864cb55c2ec466e40e87069d5aa3b33fcccddcc067,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,PASS,"The two hidden suffixes differ, while the production policy receives only the identical beginning-of-week state, released row and event-aligned scenario prefix."
Reactive,True,57adf06ed15dd2b1eb7facc835c745c9645a21f717b0c94d113c0f4d50ff8c65,fca6d70d7ef63618dede2f864cb55c2ec466e40e87069d5aa3b33fcccddcc067,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,PASS,"The two hidden suffixes differ, while the production policy receives only the identical beginning-of-week state, released row and event-aligned scenario prefix."
Behaviour cloning,True,57adf06ed15dd2b1eb7facc835c745c9645a21f717b0c94d113c0f4d50ff8c65,fca6d70d7ef63618dede2f864cb55c2ec466e40e87069d5aa3b33fcccddcc067,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,PASS,"The two hidden suffixes differ, while the production policy receives only the identical beginning-of-week state, released row and event-aligned scenario prefix."
PPO,True,57adf06ed15dd2b1eb7facc835c745c9645a21f717b0c94d113c0f4d50ff8c65,fca6d70d7ef63618dede2f864cb55c2ec466e40e87069d5aa3b33fcccddcc067,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,PASS,"The two hidden suffixes differ, while the production policy receives only the identical beginning-of-week state, released row and event-aligned scenario prefix."
Vanilla SAC,True,57adf06ed15dd2b1eb7facc835c745c9645a21f717b0c94d113c0f4d50ff8c65,fca6d70d7ef63618dede2f864cb55c2ec466e40e87069d5aa3b33fcccddcc067,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,PASS,"The two hidden suffixes differ, while the production policy receives only the identical beginning-of-week state, released row and event-aligned scenario prefix."
Constrained SAC,True,57adf06ed15dd2b1eb7facc835c745c9645a21f717b0c94d113c0f4d50ff8c65,fca6d70d7ef63618dede2f864cb55c2ec466e40e87069d5aa3b33fcccddcc067,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,PASS,"The two hidden suffixes differ, while the production policy receives only the identical beginning-of-week state, released row and event-aligned scenario prefix."
Projected stochastic MPC,True,57adf06ed15dd2b1eb7facc835c745c9645a21f717b0c94d113c0f4d50ff8c65,fca6d70d7ef63618dede2f864cb55c2ec466e40e87069d5aa3b33fcccddcc067,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,PASS,"The two hidden suffixes differ, while the production policy receives only the identical beginning-of-week state, released row and event-aligned scenario prefix."
Model-guided constrained SAC,True,57adf06ed15dd2b1eb7facc835c745c9645a21f717b0c94d113c0f4d50ff8c65,fca6d70d7ef63618dede2f864cb55c2ec466e40e87069d5aa3b33fcccddcc067,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,a40a24d9c222ca02d11d9744eb7841f2ae26aa666f2921026cdfd10824cef478,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,b2707148882fc6c7195e48f0c61e5e2fbab73888639671c5f821a4b2bc28cdc9,0.0,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,PASS,"The two hidden suffixes differ, while the production policy receives only the identical beginning-of-week state, released row and event-aligned scenario prefix."
