case_id,algorithm,iteration,equilibrium_residual,tolerance,wall_clock_seconds
production_problem_0,Conventional MSA,0,0.5867389652145829,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,1,0.027518558977047552,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,2,0.010969394306438788,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,3,0.0066433132275684195,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,4,0.0046872152551393825,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,5,0.0035858430533545907,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,6,0.0028848498997156085,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,7,0.002402044804313939,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,8,0.0020506268327348852,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,9,0.0017841632500844268,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,10,0.0015756461038552287,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,11,0.0014083347439327388,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,12,0.001271320391778796,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,13,0.00115720124773921,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,14,0.0010607845890788245,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,15,0.0009783238653872529,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,16,0.0009070505579155707,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,17,0.0008448762489313179,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,18,0.0007901969831953917,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,19,0.000741761257506129,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,20,0.0006985787933414339,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,21,0.0006598561484804192,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,22,0.0006249504089899624,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,23,0.0005933353182230145,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,24,0.0005645761229289593,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,25,0.0005383106336529862,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,26,0.000514234783932964,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,27,0.0004920914924376306,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,28,0.0004716619814711006,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,29,0.0004527589439946485,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,30,0.00043522111700013084,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,31,0.000418908935706302,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,32,0.0004037010262220752,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,33,0.00038949135437328484,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,34,0.00037618689222687044,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,35,0.0003637056961917361,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,36,0.00035197531467272026,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,37,0.00034093146138172356,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,38,0.0003305169041525307,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,39,0.00032068052961939104,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,40,0.0003113765522224273,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,41,0.0003025638422863569,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,42,0.000294205352838478,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,43,0.00028626762869425696,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,44,0.00027872038439965,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,45,0.0002715361400555188,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,46,0.0002646899059984737,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,47,0.00025815890888268534,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,48,0.00025192235297847345,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,49,0.00024596121152964726,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,50,0.00024025804386176283,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,51,0.00023479683461766465,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,52,0.00022956285206990294,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,53,0.00022454252292873993,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,54,0.00021972332145411028,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,55,0.00021509367100822546,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,56,0.00021064285645402018,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,57,0.00020636094603617133,1e-06,0.04681129986420274
production_problem_0,Conventional MSA,58,0.00020223872157183962,1e-06,0.04681129986420274
