policy,path_id,training_seed,right_censored,clearance_weeks_observed,restricted_clearance_time_contribution,ending_outstanding_mass,terminal_correction,decision_clearance_terminal_residual,exit_channel_residual,clearance_observation_valid,restricted_clearance_time_residual,terminal_once_valid,status
Passive,test_020_701c8d28bc45,,False,78,78,6.472207686306129e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_020_701c8d28bc45,,False,79,79,4.926089225149061e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_020_701c8d28bc45,,False,79,79,4.936848741885035e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_020_701c8d28bc45,1409200687.0,False,79,79,5.033479010476509e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_020_701c8d28bc45,3018804584.0,False,79,79,5.055629077959792e-07,0.0,1.4551915228366852e-11,9.094947017729282e-13,True,0,True,PASS
Behaviour cloning,test_020_701c8d28bc45,959653586.0,False,79,79,5.047005796103526e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_020_701c8d28bc45,1694234878.0,False,79,79,4.784302235578737e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
PPO,test_020_701c8d28bc45,1635820214.0,False,79,79,5.071194940774181e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
PPO,test_020_701c8d28bc45,456241246.0,False,79,79,4.950555708172836e-07,0.0,2.9103830456733704e-11,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_020_701c8d28bc45,3760190062.0,False,78,78,6.472062059230843e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_020_701c8d28bc45,3890281123.0,False,78,78,6.472075422071677e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_020_701c8d28bc45,4226533458.0,False,78,78,6.47220642100175e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_020_701c8d28bc45,301721597.0,False,78,78,6.4718627116361e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_020_701c8d28bc45,554911178.0,False,78,78,6.472192948332494e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_020_701c8d28bc45,1600960620.0,False,78,78,6.472045230610346e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_020_701c8d28bc45,301721597.0,False,79,79,5.038080350744985e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_020_701c8d28bc45,554911178.0,False,79,79,5.059712869190012e-07,0.0,0.0,0.0,True,0,True,PASS
Model-guided constrained SAC,test_020_701c8d28bc45,1600960620.0,False,79,79,5.05060493959864e-07,0.0,1.4551915228366852e-11,9.094947017729282e-13,True,0,True,PASS
Passive,test_021_69299bc5d0bf,,False,78,78,6.623786970468818e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_021_69299bc5d0bf,,False,79,79,5.335226463404046e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Projected stochastic MPC,test_021_69299bc5d0bf,,False,79,79,5.34642919452113e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_021_69299bc5d0bf,1409200687.0,False,79,79,5.435100589230388e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_021_69299bc5d0bf,3018804584.0,False,79,79,5.454836500269208e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_021_69299bc5d0bf,959653586.0,False,79,79,5.446838974101098e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
PPO,test_021_69299bc5d0bf,1694234878.0,False,79,79,5.127695538209593e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_021_69299bc5d0bf,1635820214.0,False,79,79,5.443348240738788e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_021_69299bc5d0bf,456241246.0,False,79,79,5.31467904968202e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_021_69299bc5d0bf,3760190062.0,False,78,78,6.623353736937463e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_021_69299bc5d0bf,3890281123.0,False,78,78,6.623447617330732e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_021_69299bc5d0bf,4226533458.0,False,78,78,6.623524803422837e-07,0.0,5.820766091346741e-11,3.637978807091713e-12,True,0,True,PASS
Constrained SAC,test_021_69299bc5d0bf,301721597.0,False,78,78,6.623342380273435e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_021_69299bc5d0bf,554911178.0,False,78,78,6.623673532684511e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_021_69299bc5d0bf,1600960620.0,False,78,78,6.623548191527791e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_021_69299bc5d0bf,301721597.0,False,79,79,5.439284015495454e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_021_69299bc5d0bf,554911178.0,False,79,79,5.458392228272339e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_021_69299bc5d0bf,1600960620.0,False,79,79,5.450099121297915e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Passive,test_022_1b3e72c80b5f,,False,78,78,6.576608594843782e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Reactive,test_022_1b3e72c80b5f,,False,79,79,4.931679902215474e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_022_1b3e72c80b5f,,False,79,79,4.93546196347132e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_022_1b3e72c80b5f,1409200687.0,False,79,79,5.011482201924753e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_022_1b3e72c80b5f,3018804584.0,False,79,79,5.030909305422231e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_022_1b3e72c80b5f,959653586.0,False,79,79,5.023067240181819e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
PPO,test_022_1b3e72c80b5f,1694234878.0,False,79,79,4.776405121912516e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_022_1b3e72c80b5f,1635820214.0,False,79,79,5.026213833118415e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
PPO,test_022_1b3e72c80b5f,456241246.0,False,79,79,4.925743524934986e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_022_1b3e72c80b5f,3760190062.0,False,78,78,6.576143641729358e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_022_1b3e72c80b5f,3890281123.0,False,78,78,6.576238660597792e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_022_1b3e72c80b5f,4226533458.0,False,78,78,6.576286492258267e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_022_1b3e72c80b5f,301721597.0,False,78,78,6.576050319257899e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_022_1b3e72c80b5f,554911178.0,False,78,78,6.57636205590535e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_022_1b3e72c80b5f,1600960620.0,False,78,78,6.57625265496717e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_022_1b3e72c80b5f,301721597.0,False,79,79,5.015352782026586e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_022_1b3e72c80b5f,554911178.0,False,79,79,5.034096474913817e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_022_1b3e72c80b5f,1600960620.0,False,79,79,5.026030345820987e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Passive,test_023_90a8af416c5a,,False,78,78,8.117901732565116e-07,0.0,5.820766091346741e-11,3.637978807091713e-12,True,0,True,PASS
Reactive,test_023_90a8af416c5a,,False,79,79,6.33722797096315e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_023_90a8af416c5a,,False,79,79,6.356524435998142e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_023_90a8af416c5a,1409200687.0,False,79,79,6.420461520059978e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_023_90a8af416c5a,3018804584.0,False,79,79,6.438075888646927e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_023_90a8af416c5a,959653586.0,False,79,79,6.431171973284741e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
PPO,test_023_90a8af416c5a,1694234878.0,False,79,79,6.088352773509011e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_023_90a8af416c5a,1635820214.0,False,79,79,6.417781536821444e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_023_90a8af416c5a,456241246.0,False,79,79,6.285291343232917e-07,0.0,2.9103830456733704e-11,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_023_90a8af416c5a,3760190062.0,False,78,78,8.11746290620713e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Vanilla SAC,test_023_90a8af416c5a,3890281123.0,False,78,78,8.117641373961528e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Vanilla SAC,test_023_90a8af416c5a,4226533458.0,False,78,78,8.117619395911433e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_023_90a8af416c5a,301721597.0,False,78,78,8.117290422520746e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_023_90a8af416c5a,554911178.0,False,78,78,8.117635430722924e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_023_90a8af416c5a,1600960620.0,False,78,78,8.11748570838418e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_023_90a8af416c5a,301721597.0,False,79,79,6.424053029136518e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_023_90a8af416c5a,554911178.0,False,79,79,6.441390185351389e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_023_90a8af416c5a,1600960620.0,False,79,79,6.434203272692088e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Passive,test_024_e90f261f99e2,,False,78,78,7.711079318052175e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Reactive,test_024_e90f261f99e2,,False,79,79,5.571300934891363e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_024_e90f261f99e2,,False,79,79,5.581232508371029e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_024_e90f261f99e2,1409200687.0,False,79,79,5.68579733971838e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_024_e90f261f99e2,3018804584.0,False,79,79,5.709231213398845e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_024_e90f261f99e2,959653586.0,False,79,79,5.700432122921706e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_024_e90f261f99e2,1694234878.0,False,79,79,5.369532880375118e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_024_e90f261f99e2,1635820214.0,False,79,79,5.702362590925457e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_024_e90f261f99e2,456241246.0,False,79,79,5.559874432213432e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_024_e90f261f99e2,3760190062.0,False,78,78,7.711074365038949e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_024_e90f261f99e2,3890281123.0,False,78,78,7.710978129086528e-07,0.0,8.731149137020111e-11,0.0,True,0,True,PASS
Vanilla SAC,test_024_e90f261f99e2,4226533458.0,False,78,78,7.711213924456939e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_024_e90f261f99e2,301721597.0,False,78,78,7.710637932788336e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_024_e90f261f99e2,554911178.0,False,78,78,7.711091841633564e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_024_e90f261f99e2,1600960620.0,False,78,78,7.710846889671084e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_024_e90f261f99e2,301721597.0,False,79,79,5.690738277818597e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_024_e90f261f99e2,554911178.0,False,79,79,5.713424475681648e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_024_e90f261f99e2,1600960620.0,False,79,79,5.704117518917142e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Passive,test_025_0c3eeaae0824,,False,78,78,8.183687988187597e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_025_0c3eeaae0824,,False,79,79,6.663459925138164e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_025_0c3eeaae0824,,False,79,79,6.737445117612497e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_025_0c3eeaae0824,1409200687.0,False,79,79,6.836211226059105e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_025_0c3eeaae0824,3018804584.0,False,79,79,6.85713607056065e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_025_0c3eeaae0824,959653586.0,False,79,79,6.847413681648734e-07,0.0,2.9103830456733704e-11,4.547473508864641e-13,True,0,True,PASS
PPO,test_025_0c3eeaae0824,1694234878.0,False,79,79,6.369079679409535e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_025_0c3eeaae0824,1635820214.0,False,79,79,6.806388407397734e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_025_0c3eeaae0824,456241246.0,False,79,79,6.622142635156621e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_025_0c3eeaae0824,3760190062.0,False,78,78,8.182943727839864e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_025_0c3eeaae0824,3890281123.0,False,78,78,8.183178293195098e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_025_0c3eeaae0824,4226533458.0,False,78,78,8.182926610905704e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_025_0c3eeaae0824,301721597.0,False,78,78,8.183644583186152e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_025_0c3eeaae0824,554911178.0,False,78,78,8.18367696714737e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_025_0c3eeaae0824,1600960620.0,False,78,78,8.183788492930463e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_025_0c3eeaae0824,301721597.0,False,79,79,6.842157014647161e-07,0.0,1.4551915228366852e-11,9.094947017729282e-13,True,0,True,PASS
Model-guided constrained SAC,test_025_0c3eeaae0824,554911178.0,False,79,79,6.861922583061318e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_025_0c3eeaae0824,1600960620.0,False,79,79,6.852045299701031e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Passive,test_026_770d47ae1768,,False,78,78,8.248609706373868e-07,0.0,8.731149137020111e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_026_770d47ae1768,,False,79,79,6.945054197733061e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_026_770d47ae1768,,False,79,79,6.997502421698165e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_026_770d47ae1768,1409200687.0,False,79,79,7.130416191138687e-07,0.0,2.9103830456733704e-11,9.094947017729282e-13,True,0,True,PASS
Behaviour cloning,test_026_770d47ae1768,3018804584.0,False,79,79,7.153435547209783e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_026_770d47ae1768,959653586.0,False,79,79,7.144205542138904e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
PPO,test_026_770d47ae1768,1694234878.0,False,79,79,6.574630845980493e-07,0.0,5.820766091346741e-11,9.094947017729282e-13,True,0,True,PASS
PPO,test_026_770d47ae1768,1635820214.0,False,79,79,7.1184880543525e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_026_770d47ae1768,456241246.0,False,79,79,6.880714722288038e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_026_770d47ae1768,3760190062.0,False,78,78,8.247972358105887e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_026_770d47ae1768,3890281123.0,False,78,78,8.248183985419939e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Vanilla SAC,test_026_770d47ae1768,4226533458.0,False,78,78,8.248258357108338e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_026_770d47ae1768,301721597.0,False,78,78,8.248211484204704e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Constrained SAC,test_026_770d47ae1768,554911178.0,False,78,78,8.248628257107111e-07,0.0,0.0,3.637978807091713e-12,True,0,True,PASS
Constrained SAC,test_026_770d47ae1768,1600960620.0,False,78,78,8.248430248270975e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_026_770d47ae1768,301721597.0,False,79,79,7.138382440475186e-07,0.0,0.0,0.0,True,0,True,PASS
Model-guided constrained SAC,test_026_770d47ae1768,554911178.0,False,79,79,7.160449365566598e-07,0.0,0.0,0.0,True,0,True,PASS
Model-guided constrained SAC,test_026_770d47ae1768,1600960620.0,False,79,79,7.150792452632675e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Passive,test_027_df5d670513fa,,False,78,78,6.003779392977795e-07,0.0,0.0,0.0,True,0,True,PASS
Reactive,test_027_df5d670513fa,,False,79,79,4.791513699171737e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_027_df5d670513fa,,False,79,79,4.804816156738462e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_027_df5d670513fa,1409200687.0,False,79,79,4.897459387498199e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Behaviour cloning,test_027_df5d670513fa,3018804584.0,False,79,79,4.917586177955681e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_027_df5d670513fa,959653586.0,False,79,79,4.909404068476838e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
PPO,test_027_df5d670513fa,1694234878.0,False,79,79,4.638960457219745e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_027_df5d670513fa,1635820214.0,False,79,79,4.921339362849846e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_027_df5d670513fa,456241246.0,False,79,79,4.805165409839115e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_027_df5d670513fa,3760190062.0,False,78,78,6.00330859848477e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_027_df5d670513fa,3890281123.0,False,78,78,6.00342528657116e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_027_df5d670513fa,4226533458.0,False,78,78,6.003459187387475e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_027_df5d670513fa,301721597.0,False,78,78,6.003349694037779e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_027_df5d670513fa,554911178.0,False,78,78,6.003638996232328e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_027_df5d670513fa,1600960620.0,False,78,78,6.003551131699787e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_027_df5d670513fa,301721597.0,False,79,79,4.901930999204254e-07,0.0,0.0,0.0,True,0,True,PASS
Model-guided constrained SAC,test_027_df5d670513fa,554911178.0,False,79,79,4.921392609727096e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_027_df5d670513fa,1600960620.0,False,79,79,4.912955530691472e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Passive,test_028_e9fb02365dd3,,False,78,78,6.116819471551075e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_028_e9fb02365dd3,,False,79,79,4.82924395956841e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_028_e9fb02365dd3,,False,79,79,4.844589547774741e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_028_e9fb02365dd3,1409200687.0,False,79,79,4.950933815148313e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_028_e9fb02365dd3,3018804584.0,False,79,79,4.971679954804982e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Behaviour cloning,test_028_e9fb02365dd3,959653586.0,False,79,79,4.963233500870363e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
PPO,test_028_e9fb02365dd3,1694234878.0,False,79,79,4.6492439876002993e-07,0.0,2.9103830456733704e-11,9.094947017729282e-13,True,0,True,PASS
PPO,test_028_e9fb02365dd3,1635820214.0,False,79,79,4.959241403809522e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_028_e9fb02365dd3,456241246.0,False,79,79,4.829332187271102e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_028_e9fb02365dd3,3760190062.0,False,78,78,6.116094187469309e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_028_e9fb02365dd3,3890281123.0,False,78,78,6.116317521424353e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_028_e9fb02365dd3,4226533458.0,False,78,78,6.116304071290458e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_028_e9fb02365dd3,301721597.0,False,78,78,6.116643174734487e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_028_e9fb02365dd3,554911178.0,False,78,78,6.116745750688868e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_028_e9fb02365dd3,1600960620.0,False,78,78,6.116664355131752e-07,0.0,0.0,0.0,True,0,True,PASS
Model-guided constrained SAC,test_028_e9fb02365dd3,301721597.0,False,79,79,4.95663884087552e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Model-guided constrained SAC,test_028_e9fb02365dd3,554911178.0,False,79,79,4.976709829839143e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_028_e9fb02365dd3,1600960620.0,False,79,79,4.968165714444161e-07,0.0,1.4551915228366852e-11,1.3642420526593924e-12,True,0,True,PASS
Passive,test_029_b44f60718c5a,,False,78,78,8.230382346282695e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_029_b44f60718c5a,,False,79,79,5.783848250803041e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_029_b44f60718c5a,,False,79,79,5.784663818136649e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_029_b44f60718c5a,1409200687.0,False,79,79,5.886032606256857e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Behaviour cloning,test_029_b44f60718c5a,3018804584.0,False,79,79,5.906664679936867e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_029_b44f60718c5a,959653586.0,False,79,79,5.899289148786744e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
PPO,test_029_b44f60718c5a,1694234878.0,False,79,79,5.560165502964367e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_029_b44f60718c5a,1635820214.0,False,79,79,5.876765246207253e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_029_b44f60718c5a,456241246.0,False,79,79,5.738071799006707e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_029_b44f60718c5a,3760190062.0,False,78,78,8.231583571187028e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_029_b44f60718c5a,3890281123.0,False,78,78,8.231201361212109e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_029_b44f60718c5a,4226533458.0,False,78,78,8.231514164692151e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_029_b44f60718c5a,301721597.0,False,78,78,8.231599428998149e-07,0.0,5.820766091346741e-11,0.0,True,0,True,PASS
Constrained SAC,test_029_b44f60718c5a,554911178.0,False,78,78,8.23155421965554e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_029_b44f60718c5a,1600960620.0,False,78,78,8.231400075106103e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_029_b44f60718c5a,301721597.0,False,79,79,5.888831024854935e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_029_b44f60718c5a,554911178.0,False,79,79,5.908770308288795e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_029_b44f60718c5a,1600960620.0,False,79,79,5.901170966386264e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Passive,test_030_038f4c53d11f,,False,78,78,6.989336498200964e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_030_038f4c53d11f,,False,79,79,5.491433479003015e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Projected stochastic MPC,test_030_038f4c53d11f,,False,79,79,5.497125379262718e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_030_038f4c53d11f,1409200687.0,False,79,79,5.579447647738617e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_030_038f4c53d11f,3018804584.0,False,79,79,5.59894276369786e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_030_038f4c53d11f,959653586.0,False,79,79,5.590898646010354e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
