chi_scope,path_id,split,path_content_sha256,weeks,construction,residual_start,residual_end,onset_week,active_duration_weeks,severity_floor,has_reclosure,historical_test_event_used,released_information_source
common_across_chi; model retrained per chi,training_000_60a9d350b650,training,60a9d350b65098b6fa29b9ae000e0d66488827468ec355de1ce6af7facbe9157,21,designed event geometry plus 5.2.1 pre-event residual block,2024-01-08,2024-05-27,1,10,0.0,False,False,designed split-specific training information
common_across_chi; model retrained per chi,training_001_8a16fe9edafd,training,8a16fe9edafdec4ba002803c1624f90d47967cbddd39e2cad6efd8609e42e07e,21,designed event geometry plus 5.2.1 pre-event residual block,2024-06-17,2024-11-04,3,15,0.5,False,False,designed split-specific training information
common_across_chi; model retrained per chi,training_002_7ec3e8f1af07,training,7ec3e8f1af0708c1cac9fe3a8dfd63a2cd5b7b1883453703ba49efb5f5c9f8d2,21,designed event geometry plus 5.2.1 pre-event residual block,2025-04-14,2025-09-01,5,10,0.0,True,False,designed split-specific training information
