chi,parameter,objective,analytic_gradient,finite_difference_gradient,relative_error,tolerance,passed
0.0,"mean_weight[0,0]",0.6922993792403169,0.009670293382387,0.0096702933791585,3.228495595863912e-12,0.0001,True
0.0,"mean_weight[0,5]",0.6922993792403169,0.0024175733455967,0.0024175733447896,8.071238989659779e-13,0.0001,True
0.0,"mean_weight[1,0]",0.6922993792403169,0.0234580032227522,0.0234580032220834,6.688330445037138e-13,0.0001,True
0.0,"mean_weight[1,5]",0.6922993792403169,0.005864500805688,0.005864500803229,2.458991343878836e-12,0.0001,True
0.0,"mean_weight[2,0]",0.6922993792403169,-0.0082180084681963,-0.0082180084715518,3.3554513334532747e-12,0.0001,True
0.0,"mean_weight[2,5]",0.6922993792403169,-0.002054502117049,-0.0020545021087208,8.328269497648309e-12,0.0001,True
0.0,"mean_weight[3,0]",0.6922993792403169,0.011831132176223,0.0118311321766214,3.9839138932240564e-13,0.0001,True
0.0,"mean_weight[3,5]",0.6922993792403169,0.0029577830440557,0.00295778303728,6.775751400928121e-12,0.0001,True
0.0,"mean_weight[4,0]",0.6922993792403169,0.0075815301297372,0.0075815301315554,1.8182278599399029e-12,0.0001,True
0.0,"mean_weight[4,5]",0.6922993792403169,0.0018953825324343,0.0018953825397642,7.329905996403263e-12,0.0001,True
0.0,log_standard_deviation[0],0.6922993792403169,-0.053502249033677,-0.053502249046909,1.3231991891071717e-11,0.0001,True
0.0,log_standard_deviation[1],0.6922993792403169,-0.0517438526843285,-0.0517438526955436,1.1215139927855944e-11,0.0001,True
0.0,log_standard_deviation[2],0.6922993792403169,-0.049461684328453,-0.0494616843280286,4.2438969005687e-13,0.0001,True
0.0,log_standard_deviation[3],0.6922993792403169,-0.0509777812981964,-0.0509777813033912,5.1948029211601465e-12,0.0001,True
0.0,log_standard_deviation[4],0.6922993792403169,-0.0496026179234129,-0.0496026179293696,5.9566795940213516e-12,0.0001,True
0.0,log_standard_deviation[5],0.6922993792403169,-0.050353471841807,-0.0503534718546413,1.2834344698120503e-11,0.0001,True
0.0,log_standard_deviation[6],0.6922993792403169,-0.049422928095815,-0.0494229281042277,8.412728846884931e-12,0.0001,True
0.0,log_standard_deviation[7],0.6922993792403169,-0.0509779373665207,-0.0509779373829833,1.6462511909232088e-11,0.0001,True
0.0,log_standard_deviation[8],0.6922993792403169,-0.0505739926621194,-0.0505739926639365,1.8171089632978976e-12,0.0001,True
0.0,log_standard_deviation[9],0.6922993792403169,-0.0496854709132143,-0.0496854709281544,1.4940097770033134e-11,0.0001,True
