chi,policy,metric,mean_value,metric_label
0.875,Behaviour cloning,mean_direct_sue_exit,0.00011114768715643256,SUE exit
0.875,Model-guided constrained SAC,mean_direct_sue_exit,0.00011416165276917577,SUE exit
0.875,Passive,mean_direct_sue_exit,1.975697243270513e-06,SUE exit
0.875,Projected stochastic MPC,mean_direct_sue_exit,0.00011333256190317136,SUE exit
0.875,Reactive,mean_direct_sue_exit,9.140982335022068e-05,SUE exit
1.0,Behaviour cloning,mean_direct_sue_exit,0.0,SUE exit
1.0,Model-guided constrained SAC,mean_direct_sue_exit,0.0,SUE exit
1.0,Passive,mean_direct_sue_exit,0.0,SUE exit
1.0,Projected stochastic MPC,mean_direct_sue_exit,0.0,SUE exit
1.0,Reactive,mean_direct_sue_exit,0.0,SUE exit
0.0,Behaviour cloning,mean_duration_attrition,367.50262447142364,Attrition exit
0.0,Model-guided constrained SAC,mean_duration_attrition,368.3395091449768,Attrition exit
0.0,Passive,mean_duration_attrition,686.4400799864022,Attrition exit
0.0,Projected stochastic MPC,mean_duration_attrition,269.75646242533855,Attrition exit
0.0,Reactive,mean_duration_attrition,191.11084148587798,Attrition exit
0.125,Behaviour cloning,mean_duration_attrition,334.68413435248505,Attrition exit
0.125,Model-guided constrained SAC,mean_duration_attrition,335.4053160215815,Attrition exit
0.125,Passive,mean_duration_attrition,662.9220446787687,Attrition exit
0.125,Projected stochastic MPC,mean_duration_attrition,253.22882645151458,Attrition exit
0.125,Reactive,mean_duration_attrition,212.5984758919615,Attrition exit
0.25,Behaviour cloning,mean_duration_attrition,284.78271259637245,Attrition exit
0.25,Model-guided constrained SAC,mean_duration_attrition,285.5610022785348,Attrition exit
0.25,Passive,mean_duration_attrition,629.5786890886886,Attrition exit
0.25,Projected stochastic MPC,mean_duration_attrition,230.00442074183383,Attrition exit
0.25,Reactive,mean_duration_attrition,202.60777202123228,Attrition exit
0.375,Behaviour cloning,mean_duration_attrition,232.76995657653754,Attrition exit
0.375,Model-guided constrained SAC,mean_duration_attrition,233.61759738963795,Attrition exit
0.375,Passive,mean_duration_attrition,588.6945108659778,Attrition exit
0.375,Projected stochastic MPC,mean_duration_attrition,203.626140952621,Attrition exit
0.375,Reactive,mean_duration_attrition,184.2683499420589,Attrition exit
0.5,Behaviour cloning,mean_duration_attrition,185.90723709225745,Attrition exit
0.5,Model-guided constrained SAC,mean_duration_attrition,186.85460394408622,Attrition exit
0.5,Passive,mean_duration_attrition,539.8336122937535,Attrition exit
0.5,Projected stochastic MPC,mean_duration_attrition,174.78082079653709,Attrition exit
0.5,Reactive,mean_duration_attrition,160.60223495253615,Attrition exit
0.625,Behaviour cloning,mean_duration_attrition,143.26819112926967,Attrition exit
0.625,Model-guided constrained SAC,mean_duration_attrition,144.14015494905223,Attrition exit
0.625,Passive,mean_duration_attrition,476.9905145679268,Attrition exit
0.625,Projected stochastic MPC,mean_duration_attrition,140.77507099975665,Attrition exit
0.625,Reactive,mean_duration_attrition,132.1897372679968,Attrition exit
0.75,Behaviour cloning,mean_duration_attrition,100.04458148969583,Attrition exit
0.75,Model-guided constrained SAC,mean_duration_attrition,100.54723548397997,Attrition exit
0.75,Passive,mean_duration_attrition,367.59215984513213,Attrition exit
0.75,Projected stochastic MPC,mean_duration_attrition,99.59599666363914,Attrition exit
0.75,Reactive,mean_duration_attrition,98.01661077886442,Attrition exit
0.875,Behaviour cloning,mean_duration_attrition,52.3075144029776,Attrition exit
0.875,Model-guided constrained SAC,mean_duration_attrition,52.43000669717066,Attrition exit
0.875,Passive,mean_duration_attrition,195.10010189472052,Attrition exit
0.875,Projected stochastic MPC,mean_duration_attrition,52.03586081851983,Attrition exit
0.875,Reactive,mean_duration_attrition,56.28108206707457,Attrition exit
1.0,Behaviour cloning,mean_duration_attrition,0.0,Attrition exit
1.0,Model-guided constrained SAC,mean_duration_attrition,0.0,Attrition exit
1.0,Passive,mean_duration_attrition,0.0,Attrition exit
1.0,Projected stochastic MPC,mean_duration_attrition,0.0,Attrition exit
1.0,Reactive,mean_duration_attrition,0.0,Attrition exit
0.0,Behaviour cloning,mean_committed_delivery,0.0,Committed delivery
0.0,Model-guided constrained SAC,mean_committed_delivery,0.0,Committed delivery
0.0,Passive,mean_committed_delivery,0.0,Committed delivery
0.0,Projected stochastic MPC,mean_committed_delivery,0.0,Committed delivery
0.0,Reactive,mean_committed_delivery,0.0,Committed delivery
0.125,Behaviour cloning,mean_committed_delivery,212.57346200269765,Committed delivery
0.125,Model-guided constrained SAC,mean_committed_delivery,212.57346200269765,Committed delivery
0.125,Passive,mean_committed_delivery,212.57346200269765,Committed delivery
0.125,Projected stochastic MPC,mean_committed_delivery,212.57346200269765,Committed delivery
0.125,Reactive,mean_committed_delivery,212.57346200269765,Committed delivery
0.25,Behaviour cloning,mean_committed_delivery,425.1469240053953,Committed delivery
0.25,Model-guided constrained SAC,mean_committed_delivery,425.1469240053953,Committed delivery
0.25,Passive,mean_committed_delivery,425.1469240053953,Committed delivery
0.25,Projected stochastic MPC,mean_committed_delivery,425.1469240053953,Committed delivery
0.25,Reactive,mean_committed_delivery,425.1469240053953,Committed delivery
0.375,Behaviour cloning,mean_committed_delivery,637.720386008093,Committed delivery
0.375,Model-guided constrained SAC,mean_committed_delivery,637.7203860080929,Committed delivery
0.375,Passive,mean_committed_delivery,637.720386008093,Committed delivery
0.375,Projected stochastic MPC,mean_committed_delivery,637.720386008093,Committed delivery
0.375,Reactive,mean_committed_delivery,637.720386008093,Committed delivery
0.5,Behaviour cloning,mean_committed_delivery,850.2938480107906,Committed delivery
0.5,Model-guided constrained SAC,mean_committed_delivery,850.2938480107906,Committed delivery
0.5,Passive,mean_committed_delivery,850.2938480107906,Committed delivery
0.5,Projected stochastic MPC,mean_committed_delivery,850.2938480107906,Committed delivery
0.5,Reactive,mean_committed_delivery,850.2938480107906,Committed delivery
0.625,Behaviour cloning,mean_committed_delivery,1062.8673100134883,Committed delivery
0.625,Model-guided constrained SAC,mean_committed_delivery,1062.8673100134883,Committed delivery
0.625,Passive,mean_committed_delivery,1062.8673100134883,Committed delivery
0.625,Projected stochastic MPC,mean_committed_delivery,1062.8673100134883,Committed delivery
0.625,Reactive,mean_committed_delivery,1062.8673100134883,Committed delivery
0.75,Behaviour cloning,mean_committed_delivery,1275.440772016186,Committed delivery
0.75,Model-guided constrained SAC,mean_committed_delivery,1275.440772016186,Committed delivery
0.75,Passive,mean_committed_delivery,1275.440772016186,Committed delivery
0.75,Projected stochastic MPC,mean_committed_delivery,1275.440772016186,Committed delivery
0.75,Reactive,mean_committed_delivery,1275.440772016186,Committed delivery
0.875,Behaviour cloning,mean_committed_delivery,1488.0142340188836,Committed delivery
0.875,Model-guided constrained SAC,mean_committed_delivery,1488.0142340188836,Committed delivery
0.875,Passive,mean_committed_delivery,1488.013546032955,Committed delivery
0.875,Projected stochastic MPC,mean_committed_delivery,1487.9982541719983,Committed delivery
0.875,Reactive,mean_committed_delivery,1488.0142340188836,Committed delivery
1.0,Behaviour cloning,mean_committed_delivery,1697.1848607435938,Committed delivery
1.0,Model-guided constrained SAC,mean_committed_delivery,1695.9535790483287,Committed delivery
1.0,Passive,mean_committed_delivery,1695.4517370889678,Committed delivery
1.0,Projected stochastic MPC,mean_committed_delivery,1699.9473688720143,Committed delivery
1.0,Reactive,mean_committed_delivery,1699.5922530781886,Committed delivery
0.0,Behaviour cloning,mean_adaptive_delivery,1333.0843754444688,Adaptive delivery
0.0,Model-guided constrained SAC,mean_adaptive_delivery,1332.2474727054896,Adaptive delivery
0.0,Passive,mean_adaptive_delivery,1014.1473627536438,Adaptive delivery
0.0,Projected stochastic MPC,mean_adaptive_delivery,1430.8300345754596,Adaptive delivery
0.0,Reactive,mean_adaptive_delivery,1491.6104818701745,Adaptive delivery
0.125,Behaviour cloning,mean_adaptive_delivery,1153.3294398510282,Adaptive delivery
0.125,Model-guided constrained SAC,mean_adaptive_delivery,1152.608236642621,Adaptive delivery
0.125,Passive,mean_adaptive_delivery,825.0919846626366,Adaptive delivery
0.125,Projected stochastic MPC,mean_adaptive_delivery,1234.7843461355974,Adaptive delivery
0.125,Reactive,mean_adaptive_delivery,1275.4152107138443,Adaptive delivery
0.25,Behaviour cloning,mean_adaptive_delivery,990.6574432953753,Adaptive delivery
0.25,Model-guided constrained SAC,mean_adaptive_delivery,989.8791324909379,Adaptive delivery
0.25,Passive,mean_adaptive_delivery,645.8619323626067,Adaptive delivery
0.25,Projected stochastic MPC,mean_adaptive_delivery,1045.435457578574,Adaptive delivery
0.25,Reactive,mean_adaptive_delivery,1072.8325185188462,Adaptive delivery
0.375,Behaviour cloning,mean_adaptive_delivery,830.0967944441537,Adaptive delivery
0.375,Model-guided constrained SAC,mean_adaptive_delivery,829.249133982183,Adaptive delivery
0.375,Passive,mean_adaptive_delivery,474.1726957503879,Adaptive delivery
