restriction,path_id,training_seed,all_step_acceptance_passed,maximum_transition_residual,maximum_source_simplex_residual,maximum_waiting_identity_residual,maximum_provenance_shadow_residual,maximum_period_loss_identity_residual,loss_components_reconstruct_total,restriction_changes_only_declared_action_block,no_readiness_starts_without_readiness_stock,direct_procurement_retained_under_no_readiness,no_release_pacing_uses_immediate_release_baseline,no_disclosure_preserves_information_system,policy,chi,commitment_split_identity_passed,committed_provenance_conservation_passed,existing_state_relabelled_by_chi,initial_committed_outstanding
full_action,test_002_f01217ab0e79,1484239003.0,True,9.958683556573282e-07,1.1488612424894171e-14,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_002_f01217ab0e79,1044336490.0,True,9.913318005130136e-07,1.127365277411689e-14,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_002_f01217ab0e79,2857687458.0,True,9.95656652188116e-07,8.728228982125311e-15,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_002_f01217ab0e79,3413089447.0,True,9.98500742988057e-07,1.2429561367785155e-14,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,,True,9.831185986360882e-07,1.043274387507124e-14,7.105427357601002e-15,3.907985046680551e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,,True,9.971414927856204e-07,1.0986665306092923e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,,True,9.83854649134309e-07,1.1052766910263703e-14,1.4210854715202004e-14,4.618527782440651e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,4237354934.0,True,9.977550831795822e-07,1.2732409527746458e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,60714114.0,True,9.863729068179488e-07,1.1111959266683728e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,1484239003.0,True,9.88761896994397e-07,1.0815512981737774e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,1044336490.0,True,9.891744769579563e-07,8.405521287682682e-15,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,2857687458.0,True,9.959587068680504e-07,9.878503112628438e-15,1.4210854715202004e-14,1.7763568394002505e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_003_eb3106001035,3413089447.0,True,9.695889528258664e-07,1.2662910474424242e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,,True,9.803461324864868e-07,8.744951106570004e-15,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,,True,9.893701541712395e-07,1.2645469642523804e-14,1.4210854715202004e-14,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,,True,9.994555444362097e-07,1.1255934538926224e-14,1.4210854715202004e-14,6.039613253960853e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,4237354934.0,True,9.98400767180845e-07,1.4366523118462672e-14,1.4210854715202004e-14,6.039613253960853e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,60714114.0,True,9.88720631891246e-07,1.547029614601316e-14,1.4210854715202004e-14,3.907985046680551e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,1484239003.0,True,9.978045816205694e-07,1.4174933741974843e-14,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,1044336490.0,True,9.85565781529141e-07,1.0627610580850667e-14,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,2857687458.0,True,9.83680105669745e-07,1.1169881920715819e-14,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_004_55a330aff5c4,3413089447.0,True,9.803460234005525e-07,1.0864513837736435e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,,True,9.806173311231106e-07,8.196934342223627e-15,7.105427357601002e-15,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,,True,9.772939522229385e-07,1.1517406833480051e-14,7.105427357601002e-15,2.131628207280301e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,,True,9.942726576795953e-07,1.303483501826708e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,4237354934.0,True,9.881094620798773e-07,1.4030996586214971e-14,1.4210854715202004e-14,4.263256414560601e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,60714114.0,True,9.990574419740982e-07,8.999940210945544e-15,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,1484239003.0,True,9.880451716021438e-07,1.1373552686949012e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,1044336490.0,True,9.524867651730015e-07,1.1879142418000366e-14,1.4210854715202004e-14,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,2857687458.0,True,9.96786324902605e-07,1.1148053034632129e-14,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_005_981c73a17708,3413089447.0,True,9.958463891916784e-07,1.3122364861937498e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,,True,9.870440322688962e-07,7.909999284363273e-15,7.105427357601002e-15,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,,True,9.805181948597686e-07,1.2148938505326858e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,,True,9.786913802605949e-07,1.1697681702677131e-14,1.4210854715202004e-14,6.750155989720953e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,4237354934.0,True,9.649973910592045e-07,1.3246339992229426e-14,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,60714114.0,True,9.657830349813783e-07,8.408599405413004e-15,1.4210854715202004e-14,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,1484239003.0,True,9.983327907703815e-07,1.047727155007545e-14,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,1044336490.0,True,9.884370484342171e-07,1.484609723839073e-14,1.4210854715202004e-14,3.907985046680551e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,2857687458.0,True,9.66041057751916e-07,9.442556854016803e-15,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_006_daba4b1e9814,3413089447.0,True,9.567439067849028e-07,1.1245460976533426e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,,True,9.572887098609918e-07,9.215732018653944e-15,1.4210854715202004e-14,3.907985046680551e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,,True,9.583634306900143e-07,1.402561178601104e-14,1.4210854715202004e-14,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,,True,9.725502426817558e-07,1.2228715456431056e-14,1.4210854715202004e-14,5.684341886080803e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,4237354934.0,True,9.797215348504095e-07,1.1637910822754132e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,60714114.0,True,9.719005330330691e-07,1.0878227301152482e-14,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,1484239003.0,True,9.902956737256825e-07,1.0947467162392838e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,1044336490.0,True,9.991034621022377e-07,1.2219389623681787e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,2857687458.0,True,9.999072267710747e-07,1.2232985349518166e-14,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_007_925513ee8ec6,3413089447.0,True,9.982165138721978e-07,1.0190592402044283e-14,1.4210854715202004e-14,3.907985046680551e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,,True,9.783912330802698e-07,7.419873516192584e-15,7.105427357601002e-15,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,,True,9.963676796611478e-07,1.2781488734292742e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,,True,9.972771739986146e-07,1.1813306358658552e-14,1.4210854715202004e-14,6.750155989720953e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,4237354934.0,True,9.980377304455314e-07,9.896900668242802e-15,1.4210854715202004e-14,4.263256414560601e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,60714114.0,True,9.927572597375632e-07,8.863759335883681e-15,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,1484239003.0,True,9.7941328154554e-07,1.2249416094629004e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,1044336490.0,True,9.723403348788657e-07,9.913141677973455e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,2857687458.0,True,9.977303431941913e-07,1.3589683103333064e-14,1.4210854715202004e-14,4.263256414560601e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_008_fabe46a0ea00,3413089447.0,True,9.832922445169804e-07,1.1802062419800224e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,,True,9.89614849399329e-07,1.0341274057646668e-14,7.105427357601002e-15,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,,True,9.81630945978316e-07,8.419800463228377e-15,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,,True,9.97000641195363e-07,1.1400895757519326e-14,1.4210854715202004e-14,6.394884621840903e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,4237354934.0,True,9.96503665422164e-07,1.000217839325704e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,60714114.0,True,9.948964249350258e-07,9.99086203308172e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,1484239003.0,True,9.954543734861258e-07,1.0850410739164653e-14,1.4210854715202004e-14,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,1044336490.0,True,9.927853220413674e-07,1.2324339546945435e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,2857687458.0,True,9.940238649186658e-07,6.709972767879032e-15,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_009_c8ef87e47101,3413089447.0,True,9.921964889444491e-07,1.0427689629474973e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,,True,9.979503165772504e-07,1.2458052167999e-14,1.4210854715202004e-14,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,,True,9.751617684092497e-07,1.4316195226533456e-14,7.105427357601002e-15,2.131628207280301e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,,True,9.93014664122217e-07,1.1527786375215704e-14,1.4210854715202004e-14,6.750155989720953e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,4237354934.0,True,9.928733182984131e-07,1.0343943481979941e-14,1.4210854715202004e-14,1.7763568394002505e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,60714114.0,True,9.839780627530348e-07,7.844717290448082e-15,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,1484239003.0,True,9.726135799700791e-07,1.3277734421386461e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,1044336490.0,True,9.980573416225978e-07,1.3429172795048096e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,2857687458.0,True,9.98102926271467e-07,1.0553942431362068e-14,7.105427357601002e-15,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_010_613ab99db82c,3413089447.0,True,9.980744335079931e-07,9.202479341161205e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,,True,9.990532148809308e-07,1.095590361054749e-14,7.105427357601002e-15,4.618527782440651e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,,True,9.930796311795426e-07,1.0612353823404724e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,,True,9.86747155682041e-07,1.2087222837756964e-14,1.4210854715202004e-14,6.039613253960853e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,4237354934.0,True,9.874159032000089e-07,9.991244891973882e-15,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,60714114.0,True,9.817471693428291e-07,1.0997363543974984e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,1484239003.0,True,9.65699988943712e-07,1.030771672985882e-14,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,1044336490.0,True,9.851451411286413e-07,1.1527764352359075e-14,1.4210854715202004e-14,4.973799150320701e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,2857687458.0,True,9.971165455913022e-07,8.586583897520709e-15,1.4210854715202004e-14,4.618527782440651e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_011_8a2e74b38d5d,3413089447.0,True,9.852361016307131e-07,1.0977265781477244e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,,True,9.786522691792424e-07,1.0533024105696676e-14,7.105427357601002e-15,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,,True,9.996761113286246e-07,1.3688200658395263e-14,1.4210854715202004e-14,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,,True,9.969563260640595e-07,1.3763545933119428e-14,1.4210854715202004e-14,5.684341886080803e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,4237354934.0,True,9.800622764660211e-07,8.012309958842397e-15,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,60714114.0,True,9.993074002596332e-07,1.2680557558847338e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,1484239003.0,True,9.837765736530885e-07,1.3207085097321872e-14,1.4210854715202004e-14,6.039613253960853e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,1044336490.0,True,9.85682606281759e-07,1.2216238661118e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,2857687458.0,True,9.744131769546943e-07,9.860486721840339e-15,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_012_b6bdc05b20a7,3413089447.0,True,9.91955791285057e-07,1.4889289142437125e-14,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_013_040653995d85,,True,9.771279762969498e-07,9.12235171841684e-15,7.105427357601002e-15,2.4868995751603507e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_013_040653995d85,,True,9.540886332253064e-07,1.007665461217732e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_013_040653995d85,,True,9.97373788316506e-07,1.3288981748376576e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_013_040653995d85,4237354934.0,True,9.8294459950744e-07,1.1816700843194672e-14,1.4210854715202004e-14,1.7763568394002505e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_013_040653995d85,60714114.0,True,9.99720181138804e-07,1.1085897756962608e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_013_040653995d85,1484239003.0,True,9.792122730755105e-07,9.587337231075668e-15,1.4210854715202004e-14,4.973799150320701e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_013_040653995d85,1044336490.0,True,9.876870415698471e-07,1.0741042692048125e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
