metric,source_column,chi,policy,reference_policy,physical_paths,mean_paired_difference,standard_error,paired_lower,paired_upper,unadjusted_p_value,simultaneous_lower,simultaneous_upper,holm_adjusted_p_value,multiplicity_family_size,seed_aggregated_within_path_first,inference_unit
queue_loss,loss_queue,0.5,Behaviour cloning,Passive,88,1860.2170842975088,8.234993346214097,1843.8491433237427,1876.5850252712748,3.012077821980501e-122,1833.0158459076547,1887.418322687363,6.927778990555152e-121,36,True,physical_path
queue_loss,loss_queue,0.5,Model-guided constrained SAC,Passive,88,1884.6427551848167,7.796876213265892,1869.1456194528046,1900.1398909168288,8.402248380166253e-125,1858.8886738326162,1910.3968365370172,2.1845845788432258e-123,36,True,physical_path
queue_loss,loss_queue,0.625,Reactive,Passive,88,851.1818609651583,12.001276137355687,827.3280251249129,875.0356968054037,9.131728753601145e-79,811.5401078428248,890.8236140874918,6.392210127520801e-78,36,True,physical_path
queue_loss,loss_queue,0.625,Projected stochastic MPC,Passive,88,2685.116707488775,7.585176918648501,2670.0403470279507,2700.193067949599,3.3440874447017616e-139,2660.0618960373204,2710.1715189402294,1.1035488567515812e-137,36,True,physical_path
queue_loss,loss_queue,0.625,Behaviour cloning,Passive,88,1805.0147041462499,4.449607964634302,1796.170626505918,1813.8587817865816,2.4005696463508293e-144,1790.3170787932124,1819.7123294992873,8.401993762227903e-143,36,True,physical_path
queue_loss,loss_queue,0.625,Model-guided constrained SAC,Passive,88,1846.6183131765754,4.06375329760683,1838.5411634679172,1854.6954628852336,1.241705338057077e-148,1833.1952152384845,1860.0414111146663,4.4701392170054774e-147,36,True,physical_path
queue_loss,loss_queue,0.75,Reactive,Passive,88,-113.51094065051262,29.309473940812982,-171.76669378429156,-55.25518751673369,0.0002077733253461615,-210.32388927442292,-16.69799202660232,0.0002077733253461615,36,True,physical_path
queue_loss,loss_queue,0.75,Projected stochastic MPC,Passive,88,2287.848263262336,6.54256501915077,2274.844206847437,2300.852319677235,9.697210820311971e-139,2266.2373325323365,2309.4591939923353,3.1031074624998307e-137,36,True,physical_path
queue_loss,loss_queue,0.75,Behaviour cloning,Passive,88,1263.396215880387,9.661927332853942,1244.1920890974948,1282.6003426632792,1.17983119735897e-101,1231.4816316619028,1295.3108000988711,1.769746796038455e-100,36,True,physical_path
queue_loss,loss_queue,0.75,Model-guided constrained SAC,Passive,88,1361.6020713734192,9.523108463934276,1342.6738621240324,1380.530280622806,5.1531762440179915e-105,1330.1460236695066,1393.0581190773319,8.760399614830585e-104,36,True,physical_path
queue_loss,loss_queue,0.875,Reactive,Passive,88,-1781.471797934811,39.76294806259583,-1860.5049628044226,-1702.4386330651996,6.987330708433867e-62,-1912.8139112628446,-1650.1296846067776,2.7949322833735467e-61,36,True,physical_path
queue_loss,loss_queue,0.875,Projected stochastic MPC,Passive,88,1288.5904145136694,5.359074413561326,1277.9386738276228,1299.242155199716,1.3266253124567973e-124,1270.8887049258572,1306.2921241014817,3.183900749896314e-123,36,True,physical_path
queue_loss,loss_queue,0.875,Behaviour cloning,Passive,88,121.99848610514124,11.001367988714291,100.13207598196382,143.86489622831866,2.503523139858439e-18,85.65955774242408,158.3374144678584,5.007046279716878e-18,36,True,physical_path
queue_loss,loss_queue,0.875,Model-guided constrained SAC,Passive,88,302.38669258007155,12.624945209779316,277.2932469265059,327.4801382336372,4.575678887158767e-40,260.68488058432393,344.0885045758192,1.37270366614763e-39,36,True,physical_path
queue_loss,loss_queue,1.0,Reactive,Passive,88,-3610.85227264967,38.212700789463895,-3686.8041532006937,-3534.900392098646,1.8151962985086916e-89,-3737.0737205604,-3484.6308247389397,1.6336766686578225e-88,36,True,physical_path
queue_loss,loss_queue,1.0,Projected stochastic MPC,Passive,88,-4220.49699350581,84.92782917039706,-4389.300250102273,-4051.6937369093466,1.1858043061279222e-65,-4501.024497302618,-3939.969489709001,5.929021530639611e-65,36,True,physical_path
queue_loss,loss_queue,1.0,Behaviour cloning,Passive,88,-1530.0686163000098,8.75922454085163,-1547.4785235377046,-1512.658709062315,1.4842256888004002e-112,-1559.0014575093476,-1501.135775090672,2.9684513776008005e-111,36,True,physical_path
queue_loss,loss_queue,1.0,Model-guided constrained SAC,Passive,88,-413.2102543519067,7.062657036670712,-427.24804996801674,-399.1724587357967,1.2148621814420664e-71,-436.5391156689084,-389.88139303490505,7.289173088652398e-71,36,True,physical_path
queue_loss,loss_queue,0.0,Passive,Reactive,88,-11606.72456700346,154.73356249140613,-11914.27427725116,-11299.174856755762,7.5425108922893025e-81,-12117.829354012803,-11095.619779994118,1.8102026141494325e-79,36,True,physical_path
queue_loss,loss_queue,0.0,Projected stochastic MPC,Reactive,88,-9307.024736021513,150.94666930432606,-9607.047586009077,-9007.001886033948,1.4075493095355749e-73,-9805.620929519237,-8808.428542523789,1.8298141023962474e-72,36,True,physical_path
queue_loss,loss_queue,0.0,Behaviour cloning,Reactive,88,-10215.272466382257,150.5918822423227,-10514.590138667183,-9915.954794097332,4.112748988168916e-77,-10712.696752745944,-9717.848180018571,7.81422307752094e-76,36,True,physical_path
queue_loss,loss_queue,0.0,Model-guided constrained SAC,Reactive,88,-10181.858919506456,150.35870875980115,-10480.713134246476,-9883.004704766436,4.766229168073788e-77,-10678.513003974693,-9685.20483503822,8.579212502532819e-76,36,True,physical_path
queue_loss,loss_queue,0.125,Passive,Reactive,88,-1928.2066185002686,6.391139436602104,-1940.9097001732496,-1915.5035368272877,3.623476700370999e-133,-1949.3173711249485,-1907.0958658755887,1.2319820781261397e-131,36,True,physical_path
queue_loss,loss_queue,0.125,Projected stochastic MPC,Reactive,88,431.80302653753955,12.981714568129746,406.0004631526994,457.6055899223797,2.9928156043092527e-51,388.92275962887487,474.68329344620423,2.394252483447402e-50,36,True,physical_path
