chi,policy,seed_index,training_seed,episode,training_loss,mean_formal_reward,mean_constraint_violation,constraint_dual,update_method,critic_loss_q1,critic_loss_q2,constraint_critic_loss,latent_policy_entropy,mean_log_standard_deviation,entropy_temperature,entropy_temperature_loss,target_entropy,period_update_count,reward_critic_q1_update_count,reward_critic_q2_update_count,constraint_critic_update_count,actor_update_count,entropy_temperature_update_count,constraint_dual_update_count,mean_projection_distance,projected_action_fraction
0.0,Constrained SAC,0,1044336490,8,186474.44000008755,-202294.0251588889,0.0363432550684537,14.46730172156953,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,937085127.6162575,937085125.9228677,0.2900771012972344,-1.7116264881624157,-1.4710792924041884,0.0079286818862953,0.2716335286676474,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0156854977362709,1.0
0.0,Constrained SAC,0,1044336490,9,222747.0756118875,-336543.8363801653,1.2163351492256105,17.01950553494331,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,3430626116.5663047,3430626111.8273063,1.8972811582270652,-1.540276264049988,-1.4688342611823708,0.0071535205400277,0.2449575820454852,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0176437116997043,0.5238095238095238
0.0,Behaviour cloning,1,60714114,1,0.0319160173459971,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,2,0.0316836172349559,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,3,0.0314468320565206,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,4,0.0312053633105898,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,5,0.0309589086778186,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,6,0.030707163842546,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,7,0.030449824782525,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,8,0.0301865905907847,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,9,0.0299171668959308,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,10,0.029641269945059,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
0.0,Behaviour cloning,1,60714114,11,0.0293586314070144,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
