evidence_layer,controller_id,evaluation_information_regime,capacity_rights,warning_scenario,physical_paths,queue,waiting,sue_exit,attrition_exit,overload,route_resource,action,terminal,total,component_sum,loss_identity_residual
fixed_policy_information_responsiveness,IL_RD,I0,RD,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,24.892218135952053,0.0,24.892218135952053,24.892218135952053,0.0
fixed_policy_information_responsiveness,IL_RD,I0,RD,GH,88,8583.331232026541,98044.16913593565,0.010578313223705548,3909.9501692290187,3370.04265286946,1326.2068423056187,944.8787891534187,0.0,116178.58939983294,116178.58939983293,-1.4551915228366852e-11
fixed_policy_information_responsiveness,IL_RD,I0,RD,GL,88,8583.331232026541,98044.16913593565,0.010578313223705548,3909.9501692290187,3370.04265286946,1326.2068423056187,944.8787891534187,0.0,116178.58939983294,116178.58939983293,-1.4551915228366852e-11
fixed_policy_information_responsiveness,IL_RD,I0,RD,GT,88,8583.331232026541,98044.16913593565,0.010578313223705548,3909.9501692290187,3370.04265286946,1326.2068423056187,944.8787891534187,0.0,116178.58939983294,116178.58939983293,-1.4551915228366852e-11
fixed_policy_information_responsiveness,IL_RD,IF,RD,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,22.855945956625646,0.0,22.855945956625646,22.855945956625646,0.0
fixed_policy_information_responsiveness,IL_RD,IF,RD,GH,88,8588.80295101067,97795.20306274961,0.010609700407890566,3900.2592517864277,3373.9772881549957,1327.3085923476597,950.157867786792,0.0,115935.71962353658,115935.71962353657,-1.4551915228366852e-11
fixed_policy_information_responsiveness,IL_RD,IF,RD,GL,88,8588.802951002124,97795.20306273844,0.010609700407853388,3900.2592517861344,3373.9772881515805,1327.3085923461972,950.1578678514817,0.0,115935.71962357638,115935.71962357637,-1.4551915228366852e-11
fixed_policy_information_responsiveness,IL_RD,IF,RD,GT,88,8588.802950842852,97795.20306161452,0.010609700406643014,3900.2592517650114,3373.977288018256,1327.3085923009764,950.157867730781,0.0,115935.71962197282,115935.7196219728,-1.4551915228366852e-11
fixed_policy_information_responsiveness,IL_RD,IL,RD,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,24.138562083229978,0.0,24.138562083229978,24.138562083229978,0.0
fixed_policy_information_responsiveness,IL_RD,IL,RD,GH,88,8587.781005627972,97847.16107389181,0.010601402333983557,3902.3428686350235,3373.2202982556305,1326.9630784465655,948.332479360693,0.0,115985.81140562006,115985.81140562003,-2.9103830456733704e-11
fixed_policy_information_responsiveness,IL_RD,IL,RD,GL,88,8587.780825129572,97847.16085553342,0.010601401563239783,3902.3428630373965,3373.2202245202307,1326.963048096316,948.3338545405409,0.0,115985.81227225905,115985.81227225905,0.0
fixed_policy_information_responsiveness,IL_RD,IL,RD,GT,88,8587.779868732356,97847.15278196525,0.010601393442774146,3902.3427129916367,3373.219378791223,1326.9627434442416,948.3337702610635,0.0,115985.80185757925,115985.80185757922,-2.9103830456733704e-11
reoptimized_capacity_rights,IL_D,IL,D,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,14.753477837712978,14.753477837712978,0.0
reoptimized_capacity_rights,IL_D,IL,D,GH,88,8642.695108984612,102330.42461570761,0.010369029271960994,4080.177875479897,3431.0950194289708,1319.7569343423108,778.0428766487651,0.0,120582.20279962146,120582.20279962145,-1.4551915228366852e-11
reoptimized_capacity_rights,IL_D,IL,D,GL,88,8642.695107982185,102330.42466546345,0.010369029268446028,4080.1778772691905,3431.095018757225,1319.7569341826502,778.0437036093513,0.0,120582.20367629331,120582.20367629331,0.0
reoptimized_capacity_rights,IL_D,IL,D,GT,88,8642.693747291603,102330.41547574027,0.010369019566289049,4080.177688657494,3431.093969577238,1319.756569916214,778.0436494631755,0.0,120582.19146966556,120582.19146966556,0.0
reoptimized_capacity_rights,IL_NONE,IL,NONE,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,0.10430154975211389,0.0,0.10430154975211389,0.10430154975211389,0.0
reoptimized_capacity_rights,IL_NONE,IL,NONE,GH,88,8980.785505121237,102631.09090816492,0.011475749448758697,4098.22198566112,3675.691100875297,1354.667944897059,6.636570877795148,0.0,120747.1054913469,120747.10549134687,-2.9103830456733704e-11
reoptimized_capacity_rights,IL_NONE,IL,NONE,GL,88,8980.785505113803,102631.09090850926,0.011475749448731991,4098.2219856735,3675.6911008700017,1354.667944895911,6.63657697717987,0.0,120747.1054977891,120747.1054977891,0.0
reoptimized_capacity_rights,IL_NONE,IL,NONE,GT,88,8980.783873052265,102631.08416800584,0.01147573909959671,4098.221851236528,3675.6897136631333,1354.667570625248,6.63657667370029,0.0,120747.09522899581,120747.09522899581,0.0
reoptimized_capacity_rights,IL_R,IL,R,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,3.321237749844911,0.0,3.321237749844911,3.321237749844911,0.0
reoptimized_capacity_rights,IL_R,IL,R,GH,88,8806.687784884518,101274.53870247008,0.010967425657199005,4042.7346152924306,3540.571901992809,1339.287951614482,177.76255209409527,0.0,119181.59447577405,119181.59447577407,1.4551915228366852e-11
reoptimized_capacity_rights,IL_R,IL,R,GL,88,8806.68763136974,101274.53833795823,0.01096742490312725,4042.7346038955748,3540.571829004974,1339.2879249119715,177.76276376844666,0.0,119181.59405833384,119181.59405833384,0.0
reoptimized_capacity_rights,IL_R,IL,R,GT,88,8806.686276752927,101274.53207242192,0.010967416167253127,4042.734482642956,3540.5706043107043,1339.287594584267,177.7627522342034,0.0,119181.58475036318,119181.58475036315,-2.9103830456733704e-11
reoptimized_capacity_rights,IL_RD,IL,RD,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,24.138562083229978,0.0,24.138562083229978,24.138562083229978,0.0
reoptimized_capacity_rights,IL_RD,IL,RD,GH,88,8587.781005627972,97847.16107389181,0.010601402333983557,3902.3428686350235,3373.2202982556305,1326.9630784465655,948.332479360693,0.0,115985.81140562006,115985.81140562003,-2.9103830456733704e-11
reoptimized_capacity_rights,IL_RD,IL,RD,GL,88,8587.780825129572,97847.16085553342,0.010601401563239783,3902.3428630373965,3373.2202245202307,1326.963048096316,948.3338545405409,0.0,115985.81227225905,115985.81227225905,0.0
reoptimized_capacity_rights,IL_RD,IL,RD,GT,88,8587.779868732356,97847.15278196525,0.010601393442774146,3902.3427129916367,3373.219378791223,1326.9627434442416,948.3337702610635,0.0,115985.80185757925,115985.80185757922,-2.9103830456733704e-11
reoptimized_information_value,I0_RD,I0,RD,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,17.066852820760527,0.0,17.066852820760527,17.066852820760527,0.0
reoptimized_information_value,I0_RD,I0,RD,GH,88,8526.500860732687,100552.6803462414,0.010237274459266687,4008.401497370123,3336.6199402923944,1314.7567115290296,891.4677862668409,0.0,118630.43737970694,118630.43737970693,-1.4551915228366852e-11
reoptimized_information_value,I0_RD,I0,RD,GL,88,8526.500860732687,100552.6803462414,0.010237274459266687,4008.401497370123,3336.6199402923944,1314.7567115290296,891.4677862668409,0.0,118630.43737970694,118630.43737970693,-1.4551915228366852e-11
reoptimized_information_value,I0_RD,I0,RD,GT,88,8526.500860732687,100552.6803462414,0.010237274459266687,4008.401497370123,3336.6199402923944,1314.7567115290296,891.4677862668409,0.0,118630.43737970694,118630.43737970693,-1.4551915228366852e-11
reoptimized_information_value,IF_RD,IF,RD,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,16.984771042563583,0.0,16.984771042563583,16.984771042563583,0.0
reoptimized_information_value,IF_RD,IF,RD,GH,88,8525.011937844045,100638.9997359275,0.01022531435031156,4011.818315606723,3335.9530697993587,1314.578132559824,890.4725444037064,0.0,118716.84396145552,118716.84396145551,-1.4551915228366852e-11
reoptimized_information_value,IF_RD,IF,RD,GL,88,8525.011937838,100638.99973591775,0.010225314350285692,4011.8183156064533,3335.9530697970886,1314.5781325587852,890.4725444417186,0.0,118716.84396147415,118716.84396147415,0.0
reoptimized_information_value,IF_RD,IF,RD,GT,88,8525.011937672487,100638.9997347137,0.010225314349073266,4011.8183155825895,3335.9530696635193,1314.5781325126623,890.4725443706972,0.0,118716.84395982999,118716.84395983,1.4551915228366852e-11
reoptimized_information_value,IL_RD,IL,RD,GFW,88,0.0,0.0,0.0,0.0,0.0,0.0,24.138562083229978,0.0,24.138562083229978,24.138562083229978,0.0
reoptimized_information_value,IL_RD,IL,RD,GH,88,8587.781005627972,97847.16107389181,0.010601402333983557,3902.3428686350235,3373.2202982556305,1326.9630784465655,948.332479360693,0.0,115985.81140562006,115985.81140562003,-2.9103830456733704e-11
reoptimized_information_value,IL_RD,IL,RD,GL,88,8587.780825129572,97847.16085553342,0.010601401563239783,3902.3428630373965,3373.2202245202307,1326.963048096316,948.3338545405409,0.0,115985.81227225905,115985.81227225905,0.0
reoptimized_information_value,IL_RD,IL,RD,GT,88,8587.779868732356,97847.15278196525,0.010601393442774146,3902.3427129916367,3373.219378791223,1326.9627434442416,948.3337702610635,0.0,115985.80185757925,115985.80185757922,-2.9103830456733704e-11
