base_path_id,baseline_loss,regime_loss,regime_action_loss,information_regime,false_warning_cost,interpretation
test_000_4ae657b9eeec,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_001_dde9993de777,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_002_f01217ab0e79,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_003_eb3106001035,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_004_55a330aff5c4,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_005_981c73a17708,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_006_daba4b1e9814,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_007_925513ee8ec6,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_008_fabe46a0ea00,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_009_c8ef87e47101,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_010_613ab99db82c,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_011_8a2e74b38d5d,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_012_b6bdc05b20a7,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_013_040653995d85,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_014_f00647451070,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
test_015_643a837775f9,17.06685282076053,16.984771042563583,16.984771042563583,IF,-0.0820817781969474,positive means information increased loss without a physical disruption
