controller_id,information_regime,capacity_rights,path_id,period_offset,candidate_id,nested_formal_objective,teacher_hash
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,7,release_full,6253.688381107952,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,8,release_full,6047.073599323256,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,9,release_full,5781.408677345648,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,10,release_full,6722.158042234825,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,11,release_full,6196.187702251383,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,12,release_full,6641.909433757894,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,13,release_full,6557.169891474434,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,14,release_full,6097.79312546956,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,15,release_full,6507.136783393412,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,16,release_full,6478.446363560335,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,17,release_full,6792.044769450379,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,18,release_full,8085.735538834632,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,19,release_full,5269.520530231875,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_001_8a16fe9edafd__ORACLE,20,release_full,3505.4979416871174,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,0,zero,358.0377500000001,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,1,zero,358.0377500000001,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,2,zero,358.0377500000001,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,3,zero,358.0377500000001,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,4,zero,358.0377500000001,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,5,zero,379.0377500000001,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,6,release_full,15546.638261742106,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,7,release_full,19727.4248797245,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,8,release_full,20729.855045972752,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,9,release_full,19620.93701520538,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,10,release_full,21488.343630782158,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,11,release_full,20716.39006620468,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,12,release_full,20501.759942067278,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,13,release_full,20458.93704568776,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,14,release_full,28689.26246807084,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,15,release_full,24507.871640672383,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,16,release_full,24585.395362507785,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,17,release_full,18576.862661822237,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,18,release_full,16360.596508889905,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,19,release_full,29673.194372912767,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
ORACLE_RD,ORACLE,RD,training_002_7ec3e8f1af07__ORACLE,20,release_full,25240.975565676687,931d9c74a8aa6371b77767c5d834dcc36583c5670bbdc35d3d7b1fe79e43e4c7
IF_RD,IF,RD,training_000_60a9d350b650__IF,0,zero,0.0,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,1,zero,0.0,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,2,release_full,14715.124152874112,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,3,release_full,18338.289317902727,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,4,release_full,18015.33532210133,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,5,release_full,19066.471627410363,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,6,release_full,20167.13886772388,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,7,release_full,18741.37461370964,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,8,release_full,22454.26858142917,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,training_000_60a9d350b650__IF,9,release_full,23301.36589150844,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
