evidence_layer,warning_scenario,comparison,estimand,physical_paths,mean_paired_effect,standard_error,paired_95_lower,paired_95_upper,simultaneous_95_lower,simultaneous_95_upper,paired_bootstrap_95_lower,paired_bootstrap_95_upper,unadjusted_p_value,holm_adjusted_p_value,multiplicity_family_size,learning_seeds_aggregated_within_path_first,inference_unit
reoptimized_information_value,GH,IF vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,-86.40658174857427,3.6466467922953933,-93.6546871129708,-79.15847638417773,-97.13859895750957,-75.67456453963896,-93.73224066185281,-79.49660029445137,1.0330104552544295e-39,6.198062610080387e-39,12,True,physical_path
reoptimized_information_value,GH,IL vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,2644.6259740868963,29.167900982793363,2586.651612536926,2702.6003356368665,2558.7853558078714,2730.4665923659213,2588.325643645554,2702.4890735970594,6.374354191106349e-88,7.646923112639327e-87,12,True,physical_path
reoptimized_information_value,GH,ORACLE vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,134.186599922214,10.17795162540662,113.95681898194286,154.4163808624851,104.23306775497612,164.14013208945184,114.28860475143459,154.16260904586304,1.883503886855637e-22,5.65051166056691e-22,12,True,physical_path
reoptimized_information_value,GH,IL vs IF,J_IF - J_IL; lead forecast incremental value,88,2731.0325558354702,28.48324207255468,2674.4190280055545,2787.646083665386,2651.207873743613,2810.8572379273273,2676.1788524094204,2785.059462128962,5.163229484771697e-90,7.743143896586564e-89,8,True,physical_path
reoptimized_information_value,GH,oracle gap,J_IL - J_ORACLE; unattainable upper-bound gap,88,-2510.4393741646822,31.055514690852345,-2572.1655723532313,-2448.7131759761332,-2597.4728860479713,-2423.405862281393,-2569.774892095415,-2450.731877697435,1.2325655156626458e-83,1.108779258483754e-82,8,True,physical_path
reoptimized_information_value,GT,IF vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,-86.40658012305539,3.646646764420059,-93.65468543204669,-79.15847481406409,-97.13859724995407,-75.67456299615671,-93.62321893765434,-79.51023761607988,1.0330113258165851e-39,6.198062610080387e-39,12,True,physical_path
reoptimized_information_value,GT,IL vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,2644.6355221277076,29.167904325845612,2586.6611539330593,2702.609890322356,2558.794894010139,2730.476150245276,2588.7831309660073,2701.734878739943,6.372435927199439e-88,7.646923112639327e-87,12,True,physical_path
reoptimized_information_value,GT,ORACLE vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,134.186599922214,10.17795162540662,113.95681898194286,154.4163808624851,104.23306775497612,164.14013208945184,114.59792261295362,154.39326240060666,1.883503886855637e-22,5.65051166056691e-22,12,True,physical_path
reoptimized_information_value,GT,IL vs IF,J_IF - J_IL; lead forecast incremental value,88,2731.0421022507635,28.483269078917363,2674.4285207427774,2787.6556837587495,2651.2173444731993,2810.8668600283277,2675.6595389388845,2787.8296573538464,5.162095931057709e-90,7.743143896586564e-89,8,True,physical_path
reoptimized_information_value,GT,oracle gap,J_IL - J_ORACLE; unattainable upper-bound gap,88,-2510.448922205494,31.055460068669735,-2572.175011826541,-2448.722832584447,-2597.4822810093565,-2423.4155634016315,-2572.2148025263737,-2449.3290961570347,1.2319769538708378e-83,1.108779258483754e-82,8,True,physical_path
reoptimized_information_value,GL,IF vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,-86.40658176720866,3.646646792134902,-93.65468713128621,-79.15847640313112,-97.13859897567164,-75.67456455874569,-93.65579683621303,-79.35352293583281,1.0330104350133978e-39,6.198062610080387e-39,12,True,physical_path
reoptimized_information_value,GL,IL vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,2644.625107447878,29.16790018585331,2586.6507474819123,2702.5994674138433,2558.7844915142337,2730.465723381522,2590.6263381806034,2701.5299186396787,6.374519047411538e-88,7.646923112639327e-87,12,True,physical_path
reoptimized_information_value,GL,ORACLE vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,134.186599922214,10.17795162540662,113.95681898194286,154.4163808624851,104.23306775497612,164.14013208945184,114.3072836516117,154.70766890972783,1.883503886855637e-22,5.65051166056691e-22,12,True,physical_path
reoptimized_information_value,GL,IL vs IF,J_IF - J_IL; lead forecast incremental value,88,2731.0316892150863,28.483241506675476,2674.418162509917,2787.645215920256,2651.2070087091133,2810.8563697210593,2676.9321921204782,2784.4616905131443,5.163361865582575e-90,7.743143896586564e-89,8,True,physical_path
reoptimized_information_value,GL,oracle gap,J_IL - J_ORACLE; unattainable upper-bound gap,88,-2510.4385075256637,31.05551489450723,-2572.1647061189988,-2448.7123089323286,-2597.4720199796984,-2423.404995071629,-2573.87933712209,-2448.3143538853947,1.232602747804959e-83,1.108779258483754e-82,8,True,physical_path
reoptimized_information_value,GFW,IF vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,0.0820817781969474,0.0,0.0820817781969474,0.0820817781969474,0.0820817781969474,0.0820817781969474,0.0820817781969474,0.0820817781969474,0.0,0.0,12,True,physical_path
reoptimized_information_value,GFW,IL vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,-7.0717092624694535,2.8566816507987843e-16,-7.071709262469454,-7.071709262469453,-7.071709262469454,-7.071709262469453,-7.0717092624694535,-7.0717092624694535,0.0,0.0,12,True,physical_path
reoptimized_information_value,GFW,ORACLE vs I0,J_I0 - J_I; positive means lower loss than the baseline information controller,88,-12.914522158702624,0.0,-12.914522158702624,-12.914522158702624,-12.914522158702624,-12.914522158702624,-12.914522158702624,-12.914522158702624,0.0,0.0,12,True,physical_path
reoptimized_information_value,GFW,IL vs IF,J_IF - J_IL; lead forecast incremental value,88,-7.1537910406663965,1.904454433865856e-16,-7.1537910406663965,-7.1537910406663965,-7.153791040666397,-7.153791040666396,-7.1537910406663965,-7.1537910406663965,0.0,0.0,8,True,physical_path
reoptimized_information_value,GFW,oracle gap,J_IL - J_ORACLE; unattainable upper-bound gap,88,-5.8428128962331725,9.52227216932928e-17,-5.8428128962331725,-5.8428128962331725,-5.8428128962331725,-5.8428128962331725,-5.8428128962331725,-5.8428128962331725,0.0,0.0,8,True,physical_path
fixed_policy_information_responsiveness,GH,IF vs I0,fixed IL checkpoint response; not information value,88,242.86977629636004,5.310268927417711,232.3150417987595,253.4245107939606,227.98767376485677,257.7518788278633,233.3744333372139,253.4997702040992,1.248737957507658e-62,7.492421601769411e-62,8,True,physical_path
fixed_policy_information_responsiveness,GH,IL vs I0,fixed IL checkpoint response; not information value,88,192.7779942128914,4.888895184535767,183.06078565628718,202.49520276949562,179.07679745685172,206.47919096893108,183.97118692588836,203.26016857176134,2.782011782136043e-57,8.302005117028321e-57,8,True,physical_path
fixed_policy_information_responsiveness,GT,IF vs I0,fixed IL checkpoint response; not information value,88,242.8697778601125,5.310268909504818,232.31504339811576,253.42451232210922,227.98767537881037,257.7518803414146,233.34362734834755,253.71683951733561,1.2487369336282352e-62,7.492421601769411e-62,8,True,physical_path
fixed_policy_information_responsiveness,GT,IL vs I0,fixed IL checkpoint response; not information value,88,192.7875422537031,4.888823643869278,183.07047589192007,202.50460861548612,179.0865459913763,206.48853851602988,184.08159931942797,202.8702996452756,2.76733503900944e-57,8.302005117028321e-57,8,True,physical_path
fixed_policy_information_responsiveness,GL,IF vs I0,fixed IL checkpoint response; not information value,88,242.86977625655743,5.310268927336196,232.31504175911888,253.42451075399597,227.9876737252826,257.75187878783225,233.1109096156827,253.71852391689794,1.2487379730073263e-62,7.492421601769411e-62,8,True,physical_path
fixed_policy_information_responsiveness,GL,IL vs I0,fixed IL checkpoint response; not information value,88,192.77712757387283,4.888893568680845,183.05992222895523,202.49433291879043,179.07593534628904,206.47831980145662,184.2800341957627,202.9784409909862,2.782967210307809e-57,8.302005117028321e-57,8,True,physical_path
fixed_policy_information_responsiveness,GFW,IF vs I0,fixed IL checkpoint response; not information value,88,2.036272179326403,0.0,2.036272179326403,2.036272179326403,2.036272179326403,2.036272179326403,2.036272179326403,2.036272179326403,0.0,0.0,8,True,physical_path
fixed_policy_information_responsiveness,GFW,IL vs I0,fixed IL checkpoint response; not information value,88,0.7536560527220679,0.0,0.7536560527220679,0.7536560527220679,0.7536560527220679,0.7536560527220679,0.7536560527220679,0.7536560527220679,0.0,0.0,8,True,physical_path
reoptimized_capacity_rights,GH,V_R_given_D,J_D - J_RD; readiness value when direct procurement exists,88,4596.391394001402,32.21443725334704,4532.361711729917,4660.421076272886,4501.5848731972665,4691.197914805537,4533.6040012902695,4657.806594381111,6.172783513736595e-105,5.5555051623629355e-104,12,True,physical_path
reoptimized_capacity_rights,GH,V_D_given_R,J_R - J_RD; direct procurement value when readiness exists,88,3195.783070154023,30.574351006685244,3135.013236888924,3256.552903419122,3105.803294254412,3285.762846053634,3136.410811012111,3255.9661352431854,3.0179985862859324e-93,1.810762673302942e-92,12,True,physical_path
reoptimized_capacity_rights,GH,S_RD,positive complementarity; negative substitutability,88,3030.880378428582,31.507038276267423,2968.256728222329,3093.504028634835,2938.155720340529,3123.6050365166348,2968.2886489729913,3091.053269406226,3.8922329176095147e-90,1.1676698752828544e-89,12,True,physical_path
reoptimized_capacity_rights,GT,V_R_given_D,J_D - J_RD; readiness value when direct procurement exists,88,4596.389612086321,32.21442594948904,4532.359952282479,4660.419271890163,4501.58312454924,4691.196099623402,4531.3572233936375,4660.633332820379,6.172803184211081e-105,5.5555051623629355e-104,12,True,physical_path
reoptimized_capacity_rights,GT,V_D_given_R,J_R - J_RD; direct procurement value when readiness exists,88,3195.7828927839346,30.574342174434243,3135.013077073891,3256.552708493978,3105.8031428774825,3285.7626426903867,3138.3223521606474,3255.135211587282,3.017937788838237e-93,1.810762673302942e-92,12,True,physical_path
reoptimized_capacity_rights,GT,S_RD,positive complementarity; negative substitutability,88,3030.8791334536627,31.507027542939657,2968.255504581061,3093.5027623262645,2938.154506953604,3123.6037599537212,2968.4718691567396,3090.229578190431,3.8922564363138553e-90,1.1676698752828544e-89,12,True,physical_path
