controller_id,information_regime,capacity_rights,policy,seed_index,training_seed,episode,training_loss,mean_formal_reward,mean_constraint_violation,constraint_dual,update_method,critic_loss_q1,critic_loss_q2,constraint_critic_loss,latent_policy_entropy,mean_log_standard_deviation,entropy_temperature,entropy_temperature_loss,target_entropy,period_update_count,reward_critic_q1_update_count,reward_critic_q2_update_count,constraint_critic_update_count,actor_update_count,entropy_temperature_update_count,constraint_dual_update_count,mean_projection_distance,projected_action_fraction
ORACLE_RD,ORACLE,RD,Constrained SAC,0,757737466,7,189844.44374699003,-270517.43776579504,20.22227662829337,204.59249880633232,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,2807900021.197956,2807900038.112068,75.07910205036063,-1.9704427181992092,-1.4529216616141658,0.008654592473472,0.2956587440642864,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0269372344035834,1.0
ORACLE_RD,ORACLE,RD,Constrained SAC,0,757737466,8,137218.49188306037,-134357.41804905093,5.360890890119454,215.84826967558317,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,953771194.2023228,953771192.2012272,4.396443402737973,-1.2476454526182148,-1.4500631702877298,0.0077316155784452,0.2685053809266389,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0511144312537568,1.0
ORACLE_RD,ORACLE,RD,Constrained SAC,0,757737466,9,167740.20540584787,-275149.42211147083,13.146623270229393,243.45407854306484,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,4828477644.853743,4828477651.474812,29.932232050980115,0.8657270732863053,-1.447834190495101,0.0069434284760493,0.2560051728565173,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0516254456736806,1.0
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,1,0.0323440359367254,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,2,0.0319001817943158,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,3,0.0314370024271239,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,4,0.0309506756770849,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,5,0.0304372051178451,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,6,0.0298925801689487,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
ORACLE_RD,ORACLE,RD,Behaviour cloning,1,3147283006,7,0.0293130563498257,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,
