warning_scenario,capacity_rights,mean_total_loss,panel,evidence_layer,comparison,estimand,physical_paths,mean_paired_effect,standard_error,paired_95_lower,paired_95_upper,simultaneous_95_lower,simultaneous_95_upper,paired_bootstrap_95_lower,paired_bootstrap_95_upper,unadjusted_p_value,holm_adjusted_p_value,multiplicity_family_size,learning_seeds_aggregated_within_path_first,inference_unit,controller_id,evaluation_information_regime,queue,waiting,sue_exit,attrition_exit,overload,route_resource,action,terminal,total,component_sum,loss_identity_residual,label
GH,R,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_R,IL,8806.687784884518,101274.53870247008,0.010967425657199,4042.734615292431,3540.571901992809,1339.287951614482,177.76255209409527,0.0,119181.59447577404,119181.59447577408,1.4551915228366852e-11,GH | R
GH,D,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_D,IL,8642.695108984612,102330.4246157076,0.0103690292719609,4080.177875479897,3431.0950194289708,1319.7569343423108,778.0428766487651,0.0,120582.20279962146,120582.20279962145,-1.4551915228366852e-11,GH | D
GH,NONE,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_NONE,IL,8980.785505121237,102631.09090816492,0.0114757494487586,4098.22198566112,3675.691100875297,1354.667944897059,6.636570877795148,0.0,120747.1054913469,120747.10549134688,-2.9103830456733704e-11,GH | NONE
GT,RD,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_RD,IL,8587.779868732356,97847.15278196524,0.0106013934427741,3902.3427129916367,3373.219378791223,1326.9627434442416,948.3337702610636,0.0,115985.80185757924,115985.80185757922,-2.9103830456733704e-11,GT | RD
GT,R,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_R,IL,8806.686276752927,101274.53207242192,0.0109674161672531,4042.734482642956,3540.5706043107043,1339.287594584267,177.7627522342034,0.0,119181.58475036318,119181.58475036317,-2.9103830456733704e-11,GT | R
GT,D,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_D,IL,8642.693747291603,102330.41547574029,0.010369019566289,4080.177688657494,3431.093969577238,1319.756569916214,778.0436494631755,0.0,120582.19146966556,120582.19146966556,0.0,GT | D
GT,NONE,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_NONE,IL,8980.783873052265,102631.08416800584,0.0114757390995967,4098.221851236528,3675.689713663133,1354.667570625248,6.63657667370029,0.0,120747.0952289958,120747.0952289958,0.0,GT | NONE
GL,RD,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_RD,IL,8587.780825129572,97847.16085553342,0.0106014015632397,3902.342863037397,3373.2202245202307,1326.963048096316,948.3338545405408,0.0,115985.81227225903,115985.81227225903,0.0,GL | RD
GL,R,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_R,IL,8806.68763136974,101274.53833795823,0.0109674249031272,4042.734603895575,3540.571829004974,1339.2879249119717,177.76276376844666,0.0,119181.59405833384,119181.59405833384,0.0,GL | R
GL,D,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_D,IL,8642.695107982185,102330.42466546343,0.010369029268446,4080.1778772691914,3431.095018757225,1319.7569341826502,778.0437036093513,0.0,120582.20367629331,120582.20367629331,0.0,GL | D
GL,NONE,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_NONE,IL,8980.785505113803,102631.09090850926,0.0114757494487319,4098.2219856735,3675.6911008700017,1354.667944895911,6.63657697717987,0.0,120747.1054977891,120747.1054977891,0.0,GL | NONE
GFW,RD,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_RD,IL,0.0,0.0,0.0,0.0,0.0,0.0,24.138562083229974,0.0,24.138562083229974,24.138562083229974,0.0,GFW | RD
GFW,R,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_R,IL,0.0,0.0,0.0,0.0,0.0,0.0,3.321237749844911,0.0,3.321237749844911,3.321237749844911,0.0,GFW | R
GFW,D,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_D,IL,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,14.753477837712978,14.753477837712978,0.0,GFW | D
GFW,NONE,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_NONE,IL,0.0,0.0,0.0,0.0,0.0,0.0,0.1043015497521138,0.0,0.1043015497521138,0.1043015497521138,0.0,GFW | NONE
