evidence_layer,controller_id,training_information_regime,evaluation_information_regime,capacity_rights,warning_scenario,base_path_id,base_physical_path_sha256,training_seed_count,learning_seeds_averaged_within_path_first,inference_unit,decision_periods,clearance_followup_periods,decision_operational_loss,clearance_operational_loss,terminal_correction,total_operational_objective,loss_queue,loss_waiting,loss_exit,loss_overflow,loss_route_resource,loss_action,peak_pressure,overload,waiting_model_unit_weeks,direct_sue_exit,duration_attrition,total_exit,delivered_landbridge,ending_outstanding_mass,clearance_weeks_observed,maximum_transition_residual,loss_direct_sue_exit,loss_duration_attrition,loss_component_sum_with_terminal,mean_decision_time_seconds,maximum_decision_time_seconds,bc_proposal_selected_count,sac_proposal_selected_count,fallback_count,action_dimension,restricted_clearance_time_contribution,right_censored,numerical_failure,transition_audits_passed,accepted,all_step_acceptance_passed,scenario_label_in_controller_observation,seed_clearance_probability,censored_seed_trajectories
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_010_613ab99db82c,b6d6d7a34dc5c759fa2f74e51cf089ae14ef375b3d2118cbc6e54cfe69610ff0,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.42457942412523875,0.4674066000152379,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_011_8a2e74b38d5d,2c1def025a197cafcbff5811b07b27cda029492b99505187bb109a25c6324dd0,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.42489389425689544,0.5083378332977494,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_012_b6bdc05b20a7,a0b19e6776a2ab7419a6e1e972fe362229d4c1ceaee4fcd5b26af8dd6487d91a,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.4179269781726916,0.475799599972864,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_013_040653995d85,126fef2eb8dec4e751a3cd0ab4030fa0eef9f2124b9012d0f237435c02edf2bb,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.39993337355554104,0.46101293332564336,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_014_f00647451070,373a8ad6e78d461dfdcc95fdf1fb04a78758e9c383379518c6a7f99e0d53dc1b,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3907719574890089,0.5237162999498347,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_015_643a837775f9,2c7b39349a0d1081bb9965c20059966e2efa2b36929e46f58bc4a9c3814b5fa1,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3762925425544381,0.42335463330770534,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_016_45a90ccef8bd,0029ff00c2ec31c1e494acd10829e465e27a2f2b2b25b7e64eec745f570ed89f,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3663716183777299,0.43147723337945837,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_017_ebd333a3cdba,29f164f4e07e3587787b4f7f02f926e6abe18c76068f83f7e907a642cb6d0b70,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3580758126516794,0.39581549998062354,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_018_9466cee538c9,6b88d9f59b5451cc58b1015bbaf872072f54219821d24a23dcee85e5907ccd6f,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3531126574688088,0.3804721999913454,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
reoptimized_capacity_rights,IL_D,IL,IL,D,GFW,test_019_9d2b7462a57a,37b0c4171f21c5ce77200cf1c07cafe2ac3222d7de42f1ae6fc1d30f162235f4,3,True,physical_path,29.0,0.0,14.753477837712978,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.753477837712978,0.3556921586297966,0.37521230010315776,0.0,29.0,0.0,34.0,0.0,False,False,True,True,True,False,1.0,0
